Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,FC St. Pauli,1. FC Heidenheim 1846
08/30/2024 - 09/01/2024,2,1. FC Heidenheim 1846,FC Augsburg
09/13/2024 - 09/15/2024,3,Borussia Dortmund,1. FC Heidenheim 1846
09/20/2024 - 09/22/2024,4,1. FC Heidenheim 1846,Sport-Club Freiburg
09/27/2024 - 09/29/2024,5,1. FSV Mainz 05,1. FC Heidenheim 1846
10/04/2024 - 10/06/2024,6,1. FC Heidenheim 1846,RB Leipzig
10/18/2024 - 10/20/2024,7,Borussia Mönchengladbach,1. FC Heidenheim 1846
10/25/2024 - 10/27/2024,8,1. FC Heidenheim 1846,TSG Hoffenheim
11/01/2024 - 11/03/2024,9,Holstein Kiel,1. FC Heidenheim 1846
11/08/2024 - 11/10/2024,10,1. FC Heidenheim 1846,VfL Wolfsburg
11/22/2024 - 11/24/2024,11,Bayer 04 Leverkusen,1. FC Heidenheim 1846
11/29/2024 - 12/01/2024,12,1. FC Heidenheim 1846,Eintracht Frankfurt
12/06/2024 - 12/08/2024,13,FC Bayern München,1. FC Heidenheim 1846
12/13/2024 - 12/15/2024,14,1. FC Heidenheim 1846,VfB Stuttgart
12/20/2024 - 12/22/2024,15,VfL Bochum 1848,1. FC Heidenheim 1846
01/10/2025 - 01/12/2025,16,1. FC Heidenheim 1846,1. FC Union Berlin
01/14/2025 - 01/15/2025,17,SV Werder Bremen,1. FC Heidenheim 1846
01/17/2025 - 01/19/2025,18,1. FC Heidenheim 1846,FC St. Pauli
01/24/2025 - 01/26/2025,19,FC Augsburg,1. FC Heidenheim 1846
01/31/2025 - 02/02/2025,20,1. FC Heidenheim 1846,Borussia Dortmund
02/07/2025 - 02/09/2025,21,Sport-Club Freiburg,1. FC Heidenheim 1846
02/14/2025 - 02/16/2025,22,1. FC Heidenheim 1846,1. FSV Mainz 05
02/21/2025 - 02/23/2025,23,RB Leipzig,1. FC Heidenheim 1846
02/28/2025 - 03/02/2025,24,1. FC Heidenheim 1846,Borussia Mönchengladbach
03/07/2025 - 03/09/2025,25,TSG Hoffenheim,1. FC Heidenheim 1846
03/14/2025 - 03/16/2025,26,1. FC Heidenheim 1846,Holstein Kiel
03/28/2025 - 03/30/2025,27,VfL Wolfsburg,1. FC Heidenheim 1846
04/04/2025 - 04/06/2025,28,1. FC Heidenheim 1846,Bayer 04 Leverkusen
04/11/2025 - 04/13/2025,29,Eintracht Frankfurt,1. FC Heidenheim 1846
04/19/2025 - 04/20/2025,30,1. FC Heidenheim 1846,FC Bayern München
04/25/2025 - 04/27/2025,31,VfB Stuttgart,1. FC Heidenheim 1846
05/02/2025 - 05/04/2025,32,1. FC Heidenheim 1846,VfL Bochum 1848
05/09/2025 - 05/11/2025,33,1. FC Union Berlin,1. FC Heidenheim 1846
05/17/2025,34,1. FC Heidenheim 1846,SV Werder Bremen
