Date,Matchday,Home Team,Away Team
08/23/2024,1,Borussia Mönchengladbach,Bayer 04 Leverkusen
08/30/2024 - 09/01/2024,2,Bayer 04 Leverkusen,RB Leipzig
09/13/2024 - 09/15/2024,3,TSG Hoffenheim,Bayer 04 Leverkusen
09/20/2024 - 09/22/2024,4,Bayer 04 Leverkusen,VfL Wolfsburg
09/27/2024 - 09/29/2024,5,FC Bayern München,Bayer 04 Leverkusen
10/04/2024 - 10/06/2024,6,Bayer 04 Leverkusen,Holstein Kiel
10/18/2024 - 10/20/2024,7,Bayer 04 Leverkusen,Eintracht Frankfurt
10/25/2024 - 10/27/2024,8,SV Werder Bremen,Bayer 04 Leverkusen
11/01/2024 - 11/03/2024,9,Bayer 04 Leverkusen,VfB Stuttgart
11/08/2024 - 11/10/2024,10,VfL Bochum 1848,Bayer 04 Leverkusen
11/22/2024 - 11/24/2024,11,Bayer 04 Leverkusen,1. FC Heidenheim 1846
11/29/2024 - 12/01/2024,12,1. FC Union Berlin,Bayer 04 Leverkusen
12/06/2024 - 12/08/2024,13,Bayer 04 Leverkusen,FC St. Pauli
12/13/2024 - 12/15/2024,14,FC Augsburg,Bayer 04 Leverkusen
12/20/2024 - 12/22/2024,15,Bayer 04 Leverkusen,Sport-Club Freiburg
01/10/2025 - 01/12/2025,16,Borussia Dortmund,Bayer 04 Leverkusen
01/14/2025 - 01/15/2025,17,Bayer 04 Leverkusen,1. FSV Mainz 05
01/17/2025 - 01/19/2025,18,Bayer 04 Leverkusen,Borussia Mönchengladbach
01/24/2025 - 01/26/2025,19,RB Leipzig,Bayer 04 Leverkusen
01/31/2025 - 02/02/2025,20,Bayer 04 Leverkusen,TSG Hoffenheim
02/07/2025 - 02/09/2025,21,VfL Wolfsburg,Bayer 04 Leverkusen
02/14/2025 - 02/16/2025,22,Bayer 04 Leverkusen,FC Bayern München
02/21/2025 - 02/23/2025,23,Holstein Kiel,Bayer 04 Leverkusen
02/28/2025 - 03/02/2025,24,Eintracht Frankfurt,Bayer 04 Leverkusen
03/07/2025 - 03/09/2025,25,Bayer 04 Leverkusen,SV Werder Bremen
03/14/2025 - 03/16/2025,26,VfB Stuttgart,Bayer 04 Leverkusen
03/28/2025 - 03/30/2025,27,Bayer 04 Leverkusen,VfL Bochum 1848
04/04/2025 - 04/06/2025,28,1. FC Heidenheim 1846,Bayer 04 Leverkusen
04/11/2025 - 04/13/2025,29,Bayer 04 Leverkusen,1. FC Union Berlin
04/19/2025 - 04/20/2025,30,FC St. Pauli,Bayer 04 Leverkusen
04/25/2025 - 04/27/2025,31,Bayer 04 Leverkusen,FC Augsburg
05/02/2025 - 05/04/2025,32,Sport-Club Freiburg,Bayer 04 Leverkusen
05/09/2025 - 05/11/2025,33,Bayer 04 Leverkusen,Borussia Dortmund
05/17/2025,34,1. FSV Mainz 05,Bayer 04 Leverkusen
