Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,Borussia Dortmund,Eintracht Frankfurt
08/30/2024 - 09/01/2024,2,SV Werder Bremen,Borussia Dortmund
09/13/2024 - 09/15/2024,3,Borussia Dortmund,1. FC Heidenheim 1846
09/20/2024 - 09/22/2024,4,VfB Stuttgart,Borussia Dortmund
09/27/2024 - 09/29/2024,5,Borussia Dortmund,VfL Bochum 1848
10/04/2024 - 10/06/2024,6,1. FC Union Berlin,Borussia Dortmund
10/18/2024 - 10/20/2024,7,Borussia Dortmund,FC St. Pauli
10/25/2024 - 10/27/2024,8,FC Augsburg,Borussia Dortmund
11/01/2024 - 11/03/2024,9,Borussia Dortmund,RB Leipzig
11/08/2024 - 11/10/2024,10,1. FSV Mainz 05,Borussia Dortmund
11/22/2024 - 11/24/2024,11,Borussia Dortmund,Sport-Club Freiburg
11/29/2024 - 12/01/2024,12,Borussia Dortmund,FC Bayern München
12/06/2024 - 12/08/2024,13,Borussia Mönchengladbach,Borussia Dortmund
12/13/2024 - 12/15/2024,14,Borussia Dortmund,TSG Hoffenheim
12/20/2024 - 12/22/2024,15,VfL Wolfsburg,Borussia Dortmund
01/10/2025 - 01/12/2025,16,Borussia Dortmund,Bayer 04 Leverkusen
01/14/2025 - 01/15/2025,17,Holstein Kiel,Borussia Dortmund
01/17/2025 - 01/19/2025,18,Eintracht Frankfurt,Borussia Dortmund
01/24/2025 - 01/26/2025,19,Borussia Dortmund,SV Werder Bremen
01/31/2025 - 02/02/2025,20,1. FC Heidenheim 1846,Borussia Dortmund
02/07/2025 - 02/09/2025,21,Borussia Dortmund,VfB Stuttgart
02/14/2025 - 02/16/2025,22,VfL Bochum 1848,Borussia Dortmund
02/21/2025 - 02/23/2025,23,Borussia Dortmund,1. FC Union Berlin
02/28/2025 - 03/02/2025,24,FC St. Pauli,Borussia Dortmund
03/07/2025 - 03/09/2025,25,Borussia Dortmund,FC Augsburg
03/14/2025 - 03/16/2025,26,RB Leipzig,Borussia Dortmund
03/28/2025 - 03/30/2025,27,Borussia Dortmund,1. FSV Mainz 05
04/04/2025 - 04/06/2025,28,Sport-Club Freiburg,Borussia Dortmund
04/11/2025 - 04/13/2025,29,FC Bayern München,Borussia Dortmund
04/19/2025 - 04/20/2025,30,Borussia Dortmund,Borussia Mönchengladbach
04/25/2025 - 04/27/2025,31,TSG Hoffenheim,Borussia Dortmund
05/02/2025 - 05/04/2025,32,Borussia Dortmund,VfL Wolfsburg
05/09/2025 - 05/11/2025,33,Bayer 04 Leverkusen,Borussia Dortmund
05/17/2025,34,Borussia Dortmund,Holstein Kiel
