Date,Matchday,Home Team,Away Team
08/23/2024,1,Borussia Mönchengladbach,Bayer 04 Leverkusen
08/30/2024 - 09/01/2024,2,VfL Bochum 1848,Borussia Mönchengladbach
09/13/2024 - 09/15/2024,3,Borussia Mönchengladbach,VfB Stuttgart
09/20/2024 - 09/22/2024,4,Eintracht Frankfurt,Borussia Mönchengladbach
09/27/2024 - 09/29/2024,5,Borussia Mönchengladbach,1. FC Union Berlin
10/04/2024 - 10/06/2024,6,FC Augsburg,Borussia Mönchengladbach
10/18/2024 - 10/20/2024,7,Borussia Mönchengladbach,1. FC Heidenheim 1846
10/25/2024 - 10/27/2024,8,1. FSV Mainz 05,Borussia Mönchengladbach
11/01/2024 - 11/03/2024,9,Borussia Mönchengladbach,SV Werder Bremen
11/08/2024 - 11/10/2024,10,RB Leipzig,Borussia Mönchengladbach
11/22/2024 - 11/24/2024,11,Borussia Mönchengladbach,FC St. Pauli
11/29/2024 - 12/01/2024,12,Sport-Club Freiburg,Borussia Mönchengladbach
12/06/2024 - 12/08/2024,13,Borussia Mönchengladbach,Borussia Dortmund
12/13/2024 - 12/15/2024,14,Borussia Mönchengladbach,Holstein Kiel
12/20/2024 - 12/22/2024,15,TSG Hoffenheim,Borussia Mönchengladbach
01/10/2025 - 01/12/2025,16,Borussia Mönchengladbach,FC Bayern München
01/14/2025 - 01/15/2025,17,VfL Wolfsburg,Borussia Mönchengladbach
01/17/2025 - 01/19/2025,18,Bayer 04 Leverkusen,Borussia Mönchengladbach
01/24/2025 - 01/26/2025,19,Borussia Mönchengladbach,VfL Bochum 1848
01/31/2025 - 02/02/2025,20,VfB Stuttgart,Borussia Mönchengladbach
02/07/2025 - 02/09/2025,21,Borussia Mönchengladbach,Eintracht Frankfurt
02/14/2025 - 02/16/2025,22,1. FC Union Berlin,Borussia Mönchengladbach
02/21/2025 - 02/23/2025,23,Borussia Mönchengladbach,FC Augsburg
02/28/2025 - 03/02/2025,24,1. FC Heidenheim 1846,Borussia Mönchengladbach
03/07/2025 - 03/09/2025,25,Borussia Mönchengladbach,1. FSV Mainz 05
03/14/2025 - 03/16/2025,26,SV Werder Bremen,Borussia Mönchengladbach
03/28/2025 - 03/30/2025,27,Borussia Mönchengladbach,RB Leipzig
04/04/2025 - 04/06/2025,28,FC St. Pauli,Borussia Mönchengladbach
04/11/2025 - 04/13/2025,29,Borussia Mönchengladbach,Sport-Club Freiburg
04/19/2025 - 04/20/2025,30,Borussia Dortmund,Borussia Mönchengladbach
04/25/2025 - 04/27/2025,31,Holstein Kiel,Borussia Mönchengladbach
05/02/2025 - 05/04/2025,32,Borussia Mönchengladbach,TSG Hoffenheim
05/09/2025 - 05/11/2025,33,FC Bayern München,Borussia Mönchengladbach
05/17/2025,34,Borussia Mönchengladbach,VfL Wolfsburg
