Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,Borussia Dortmund,Eintracht Frankfurt
08/30/2024 - 09/01/2024,2,Eintracht Frankfurt,TSG Hoffenheim
09/13/2024 - 09/15/2024,3,VfL Wolfsburg,Eintracht Frankfurt
09/20/2024 - 09/22/2024,4,Eintracht Frankfurt,Borussia Mönchengladbach
09/27/2024 - 09/29/2024,5,Holstein Kiel,Eintracht Frankfurt
10/04/2024 - 10/06/2024,6,Eintracht Frankfurt,FC Bayern München
10/18/2024 - 10/20/2024,7,Bayer 04 Leverkusen,Eintracht Frankfurt
10/25/2024 - 10/27/2024,8,1. FC Union Berlin,Eintracht Frankfurt
11/01/2024 - 11/03/2024,9,Eintracht Frankfurt,VfL Bochum 1848
11/08/2024 - 11/10/2024,10,VfB Stuttgart,Eintracht Frankfurt
11/22/2024 - 11/24/2024,11,Eintracht Frankfurt,SV Werder Bremen
11/29/2024 - 12/01/2024,12,1. FC Heidenheim 1846,Eintracht Frankfurt
12/06/2024 - 12/08/2024,13,Eintracht Frankfurt,FC Augsburg
12/13/2024 - 12/15/2024,14,RB Leipzig,Eintracht Frankfurt
12/20/2024 - 12/22/2024,15,Eintracht Frankfurt,1. FSV Mainz 05
01/10/2025 - 01/12/2025,16,FC St. Pauli,Eintracht Frankfurt
01/14/2025 - 01/15/2025,17,Eintracht Frankfurt,Sport-Club Freiburg
01/17/2025 - 01/19/2025,18,Eintracht Frankfurt,Borussia Dortmund
01/24/2025 - 01/26/2025,19,TSG Hoffenheim,Eintracht Frankfurt
01/31/2025 - 02/02/2025,20,Eintracht Frankfurt,VfL Wolfsburg
02/07/2025 - 02/09/2025,21,Borussia Mönchengladbach,Eintracht Frankfurt
02/14/2025 - 02/16/2025,22,Eintracht Frankfurt,Holstein Kiel
02/21/2025 - 02/23/2025,23,FC Bayern München,Eintracht Frankfurt
02/28/2025 - 03/02/2025,24,Eintracht Frankfurt,Bayer 04 Leverkusen
03/07/2025 - 03/09/2025,25,Eintracht Frankfurt,1. FC Union Berlin
03/14/2025 - 03/16/2025,26,VfL Bochum 1848,Eintracht Frankfurt
03/28/2025 - 03/30/2025,27,Eintracht Frankfurt,VfB Stuttgart
04/04/2025 - 04/06/2025,28,SV Werder Bremen,Eintracht Frankfurt
04/11/2025 - 04/13/2025,29,Eintracht Frankfurt,1. FC Heidenheim 1846
04/19/2025 - 04/20/2025,30,FC Augsburg,Eintracht Frankfurt
04/25/2025 - 04/27/2025,31,Eintracht Frankfurt,RB Leipzig
05/02/2025 - 05/04/2025,32,1. FSV Mainz 05,Eintracht Frankfurt
05/09/2025 - 05/11/2025,33,Eintracht Frankfurt,FC St. Pauli
05/17/2025,34,Sport-Club Freiburg,Eintracht Frankfurt
