Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,FC Augsburg,SV Werder Bremen
08/30/2024 - 09/01/2024,2,1. FC Heidenheim 1846,FC Augsburg
09/13/2024 - 09/15/2024,3,FC Augsburg,FC St. Pauli
09/20/2024 - 09/22/2024,4,FC Augsburg,1. FSV Mainz 05
09/27/2024 - 09/29/2024,5,RB Leipzig,FC Augsburg
10/04/2024 - 10/06/2024,6,FC Augsburg,Borussia Mönchengladbach
10/18/2024 - 10/20/2024,7,Sport-Club Freiburg,FC Augsburg
10/25/2024 - 10/27/2024,8,FC Augsburg,Borussia Dortmund
11/01/2024 - 11/03/2024,9,VfL Wolfsburg,FC Augsburg
11/08/2024 - 11/10/2024,10,FC Augsburg,TSG Hoffenheim
11/22/2024 - 11/24/2024,11,FC Bayern München,FC Augsburg
11/29/2024 - 12/01/2024,12,FC Augsburg,VfL Bochum 1848
12/06/2024 - 12/08/2024,13,Eintracht Frankfurt,FC Augsburg
12/13/2024 - 12/15/2024,14,FC Augsburg,Bayer 04 Leverkusen
12/20/2024 - 12/22/2024,15,Holstein Kiel,FC Augsburg
01/10/2025 - 01/12/2025,16,FC Augsburg,VfB Stuttgart
01/14/2025 - 01/15/2025,17,1. FC Union Berlin,FC Augsburg
01/17/2025 - 01/19/2025,18,SV Werder Bremen,FC Augsburg
01/24/2025 - 01/26/2025,19,FC Augsburg,1. FC Heidenheim 1846
01/31/2025 - 02/02/2025,20,FC St. Pauli,FC Augsburg
02/07/2025 - 02/09/2025,21,1. FSV Mainz 05,FC Augsburg
02/14/2025 - 02/16/2025,22,FC Augsburg,RB Leipzig
02/21/2025 - 02/23/2025,23,Borussia Mönchengladbach,FC Augsburg
02/28/2025 - 03/02/2025,24,FC Augsburg,Sport-Club Freiburg
03/07/2025 - 03/09/2025,25,Borussia Dortmund,FC Augsburg
03/14/2025 - 03/16/2025,26,FC Augsburg,VfL Wolfsburg
03/28/2025 - 03/30/2025,27,TSG Hoffenheim,FC Augsburg
04/04/2025 - 04/06/2025,28,FC Augsburg,FC Bayern München
04/11/2025 - 04/13/2025,29,VfL Bochum 1848,FC Augsburg
04/19/2025 - 04/20/2025,30,FC Augsburg,Eintracht Frankfurt
04/25/2025 - 04/27/2025,31,Bayer 04 Leverkusen,FC Augsburg
05/02/2025 - 05/04/2025,32,FC Augsburg,Holstein Kiel
05/09/2025 - 05/11/2025,33,VfB Stuttgart,FC Augsburg
05/17/2025,34,FC Augsburg,1. FC Union Berlin
