Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,VfL Wolfsburg,FC Bayern München
08/30/2024 - 09/01/2024,2,FC Bayern München,Sport-Club Freiburg
09/13/2024 - 09/15/2024,3,Holstein Kiel,FC Bayern München
09/20/2024 - 09/22/2024,4,SV Werder Bremen,FC Bayern München
09/27/2024 - 09/29/2024,5,FC Bayern München,Bayer 04 Leverkusen
10/04/2024 - 10/06/2024,6,Eintracht Frankfurt,FC Bayern München
10/18/2024 - 10/20/2024,7,FC Bayern München,VfB Stuttgart
10/25/2024 - 10/27/2024,8,VfL Bochum 1848,FC Bayern München
11/01/2024 - 11/03/2024,9,FC Bayern München,1. FC Union Berlin
11/08/2024 - 11/10/2024,10,FC St. Pauli,FC Bayern München
11/22/2024 - 11/24/2024,11,FC Bayern München,FC Augsburg
11/29/2024 - 12/01/2024,12,Borussia Dortmund,FC Bayern München
12/06/2024 - 12/08/2024,13,FC Bayern München,1. FC Heidenheim 1846
12/13/2024 - 12/15/2024,14,1. FSV Mainz 05,FC Bayern München
12/20/2024 - 12/22/2024,15,FC Bayern München,RB Leipzig
01/10/2025 - 01/12/2025,16,Borussia Mönchengladbach,FC Bayern München
01/14/2025 - 01/15/2025,17,FC Bayern München,TSG Hoffenheim
01/17/2025 - 01/19/2025,18,FC Bayern München,VfL Wolfsburg
01/24/2025 - 01/26/2025,19,Sport-Club Freiburg,FC Bayern München
01/31/2025 - 02/02/2025,20,FC Bayern München,Holstein Kiel
02/07/2025 - 02/09/2025,21,FC Bayern München,SV Werder Bremen
02/14/2025 - 02/16/2025,22,Bayer 04 Leverkusen,FC Bayern München
02/21/2025 - 02/23/2025,23,FC Bayern München,Eintracht Frankfurt
02/28/2025 - 03/02/2025,24,VfB Stuttgart,FC Bayern München
03/07/2025 - 03/09/2025,25,FC Bayern München,VfL Bochum 1848
03/14/2025 - 03/16/2025,26,1. FC Union Berlin,FC Bayern München
03/28/2025 - 03/30/2025,27,FC Bayern München,FC St. Pauli
04/04/2025 - 04/06/2025,28,FC Augsburg,FC Bayern München
04/11/2025 - 04/13/2025,29,FC Bayern München,Borussia Dortmund
04/19/2025 - 04/20/2025,30,1. FC Heidenheim 1846,FC Bayern München
04/25/2025 - 04/27/2025,31,FC Bayern München,1. FSV Mainz 05
05/02/2025 - 05/04/2025,32,RB Leipzig,FC Bayern München
05/09/2025 - 05/11/2025,33,FC Bayern München,Borussia Mönchengladbach
05/17/2025,34,TSG Hoffenheim,FC Bayern München
