Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,FC St. Pauli,1. FC Heidenheim 1846
08/30/2024 - 09/01/2024,2,1. FC Union Berlin,FC St. Pauli
09/13/2024 - 09/15/2024,3,FC Augsburg,FC St. Pauli
09/20/2024 - 09/22/2024,4,FC St. Pauli,RB Leipzig
09/27/2024 - 09/29/2024,5,Sport-Club Freiburg,FC St. Pauli
10/04/2024 - 10/06/2024,6,FC St. Pauli,1. FSV Mainz 05
10/18/2024 - 10/20/2024,7,Borussia Dortmund,FC St. Pauli
10/25/2024 - 10/27/2024,8,FC St. Pauli,VfL Wolfsburg
11/01/2024 - 11/03/2024,9,TSG Hoffenheim,FC St. Pauli
11/08/2024 - 11/10/2024,10,FC St. Pauli,FC Bayern München
11/22/2024 - 11/24/2024,11,Borussia Mönchengladbach,FC St. Pauli
11/29/2024 - 12/01/2024,12,FC St. Pauli,Holstein Kiel
12/06/2024 - 12/08/2024,13,Bayer 04 Leverkusen,FC St. Pauli
12/13/2024 - 12/15/2024,14,FC St. Pauli,SV Werder Bremen
12/20/2024 - 12/22/2024,15,VfB Stuttgart,FC St. Pauli
01/10/2025 - 01/12/2025,16,FC St. Pauli,Eintracht Frankfurt
01/14/2025 - 01/15/2025,17,VfL Bochum 1848,FC St. Pauli
01/17/2025 - 01/19/2025,18,1. FC Heidenheim 1846,FC St. Pauli
01/24/2025 - 01/26/2025,19,FC St. Pauli,1. FC Union Berlin
01/31/2025 - 02/02/2025,20,FC St. Pauli,FC Augsburg
02/07/2025 - 02/09/2025,21,RB Leipzig,FC St. Pauli
02/14/2025 - 02/16/2025,22,FC St. Pauli,Sport-Club Freiburg
02/21/2025 - 02/23/2025,23,1. FSV Mainz 05,FC St. Pauli
02/28/2025 - 03/02/2025,24,FC St. Pauli,Borussia Dortmund
03/07/2025 - 03/09/2025,25,VfL Wolfsburg,FC St. Pauli
03/14/2025 - 03/16/2025,26,FC St. Pauli,TSG Hoffenheim
03/28/2025 - 03/30/2025,27,FC Bayern München,FC St. Pauli
04/04/2025 - 04/06/2025,28,FC St. Pauli,Borussia Mönchengladbach
04/11/2025 - 04/13/2025,29,Holstein Kiel,FC St. Pauli
04/19/2025 - 04/20/2025,30,FC St. Pauli,Bayer 04 Leverkusen
04/25/2025 - 04/27/2025,31,SV Werder Bremen,FC St. Pauli
05/02/2025 - 05/04/2025,32,FC St. Pauli,VfB Stuttgart
05/09/2025 - 05/11/2025,33,Eintracht Frankfurt,FC St. Pauli
05/17/2025,34,FC St. Pauli,VfL Bochum 1848
