Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,TSG Hoffenheim,Holstein Kiel
08/30/2024 - 09/01/2024,2,Holstein Kiel,VfL Wolfsburg
09/13/2024 - 09/15/2024,3,Holstein Kiel,FC Bayern München
09/20/2024 - 09/22/2024,4,VfL Bochum 1848,Holstein Kiel
09/27/2024 - 09/29/2024,5,Holstein Kiel,Eintracht Frankfurt
10/04/2024 - 10/06/2024,6,Bayer 04 Leverkusen,Holstein Kiel
10/18/2024 - 10/20/2024,7,Holstein Kiel,1. FC Union Berlin
10/25/2024 - 10/27/2024,8,VfB Stuttgart,Holstein Kiel
11/01/2024 - 11/03/2024,9,Holstein Kiel,1. FC Heidenheim 1846
11/08/2024 - 11/10/2024,10,SV Werder Bremen,Holstein Kiel
11/22/2024 - 11/24/2024,11,Holstein Kiel,1. FSV Mainz 05
11/29/2024 - 12/01/2024,12,FC St. Pauli,Holstein Kiel
12/06/2024 - 12/08/2024,13,Holstein Kiel,RB Leipzig
12/13/2024 - 12/15/2024,14,Borussia Mönchengladbach,Holstein Kiel
12/20/2024 - 12/22/2024,15,Holstein Kiel,FC Augsburg
01/10/2025 - 01/12/2025,16,Sport-Club Freiburg,Holstein Kiel
01/14/2025 - 01/15/2025,17,Holstein Kiel,Borussia Dortmund
01/17/2025 - 01/19/2025,18,Holstein Kiel,TSG Hoffenheim
01/24/2025 - 01/26/2025,19,VfL Wolfsburg,Holstein Kiel
01/31/2025 - 02/02/2025,20,FC Bayern München,Holstein Kiel
02/07/2025 - 02/09/2025,21,Holstein Kiel,VfL Bochum 1848
02/14/2025 - 02/16/2025,22,Eintracht Frankfurt,Holstein Kiel
02/21/2025 - 02/23/2025,23,Holstein Kiel,Bayer 04 Leverkusen
02/28/2025 - 03/02/2025,24,1. FC Union Berlin,Holstein Kiel
03/07/2025 - 03/09/2025,25,Holstein Kiel,VfB Stuttgart
03/14/2025 - 03/16/2025,26,1. FC Heidenheim 1846,Holstein Kiel
03/28/2025 - 03/30/2025,27,Holstein Kiel,SV Werder Bremen
04/04/2025 - 04/06/2025,28,1. FSV Mainz 05,Holstein Kiel
04/11/2025 - 04/13/2025,29,Holstein Kiel,FC St. Pauli
04/19/2025 - 04/20/2025,30,RB Leipzig,Holstein Kiel
04/25/2025 - 04/27/2025,31,Holstein Kiel,Borussia Mönchengladbach
05/02/2025 - 05/04/2025,32,FC Augsburg,Holstein Kiel
05/09/2025 - 05/11/2025,33,Holstein Kiel,Sport-Club Freiburg
05/17/2025,34,Borussia Dortmund,Holstein Kiel
