Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,RB Leipzig,VfL Bochum 1848
08/30/2024 - 09/01/2024,2,Bayer 04 Leverkusen,RB Leipzig
09/13/2024 - 09/15/2024,3,RB Leipzig,1. FC Union Berlin
09/20/2024 - 09/22/2024,4,FC St. Pauli,RB Leipzig
09/27/2024 - 09/29/2024,5,RB Leipzig,FC Augsburg
10/04/2024 - 10/06/2024,6,1. FC Heidenheim 1846,RB Leipzig
10/18/2024 - 10/20/2024,7,1. FSV Mainz 05,RB Leipzig
10/25/2024 - 10/27/2024,8,RB Leipzig,Sport-Club Freiburg
11/01/2024 - 11/03/2024,9,Borussia Dortmund,RB Leipzig
11/08/2024 - 11/10/2024,10,RB Leipzig,Borussia Mönchengladbach
11/22/2024 - 11/24/2024,11,TSG Hoffenheim,RB Leipzig
11/29/2024 - 12/01/2024,12,RB Leipzig,VfL Wolfsburg
12/06/2024 - 12/08/2024,13,Holstein Kiel,RB Leipzig
12/13/2024 - 12/15/2024,14,RB Leipzig,Eintracht Frankfurt
12/20/2024 - 12/22/2024,15,FC Bayern München,RB Leipzig
01/10/2025 - 01/12/2025,16,RB Leipzig,SV Werder Bremen
01/14/2025 - 01/15/2025,17,VfB Stuttgart,RB Leipzig
01/17/2025 - 01/19/2025,18,VfL Bochum 1848,RB Leipzig
01/24/2025 - 01/26/2025,19,RB Leipzig,Bayer 04 Leverkusen
01/31/2025 - 02/02/2025,20,1. FC Union Berlin,RB Leipzig
02/07/2025 - 02/09/2025,21,RB Leipzig,FC St. Pauli
02/14/2025 - 02/16/2025,22,FC Augsburg,RB Leipzig
02/21/2025 - 02/23/2025,23,RB Leipzig,1. FC Heidenheim 1846
02/28/2025 - 03/02/2025,24,RB Leipzig,1. FSV Mainz 05
03/07/2025 - 03/09/2025,25,Sport-Club Freiburg,RB Leipzig
03/14/2025 - 03/16/2025,26,RB Leipzig,Borussia Dortmund
03/28/2025 - 03/30/2025,27,Borussia Mönchengladbach,RB Leipzig
04/04/2025 - 04/06/2025,28,RB Leipzig,TSG Hoffenheim
04/11/2025 - 04/13/2025,29,VfL Wolfsburg,RB Leipzig
04/19/2025 - 04/20/2025,30,RB Leipzig,Holstein Kiel
04/25/2025 - 04/27/2025,31,Eintracht Frankfurt,RB Leipzig
05/02/2025 - 05/04/2025,32,RB Leipzig,FC Bayern München
05/09/2025 - 05/11/2025,33,SV Werder Bremen,RB Leipzig
05/17/2025,34,RB Leipzig,VfB Stuttgart
