Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,FC Augsburg,SV Werder Bremen
08/30/2024 - 09/01/2024,2,SV Werder Bremen,Borussia Dortmund
09/13/2024 - 09/15/2024,3,1. FSV Mainz 05,SV Werder Bremen
09/20/2024 - 09/22/2024,4,SV Werder Bremen,FC Bayern München
09/27/2024 - 09/29/2024,5,TSG Hoffenheim,SV Werder Bremen
10/04/2024 - 10/06/2024,6,SV Werder Bremen,Sport-Club Freiburg
10/18/2024 - 10/20/2024,7,VfL Wolfsburg,SV Werder Bremen
10/25/2024 - 10/27/2024,8,SV Werder Bremen,Bayer 04 Leverkusen
11/01/2024 - 11/03/2024,9,Borussia Mönchengladbach,SV Werder Bremen
11/08/2024 - 11/10/2024,10,SV Werder Bremen,Holstein Kiel
11/22/2024 - 11/24/2024,11,Eintracht Frankfurt,SV Werder Bremen
11/29/2024 - 12/01/2024,12,SV Werder Bremen,VfB Stuttgart
12/06/2024 - 12/08/2024,13,VfL Bochum 1848,SV Werder Bremen
12/13/2024 - 12/15/2024,14,FC St. Pauli,SV Werder Bremen
12/20/2024 - 12/22/2024,15,SV Werder Bremen,1. FC Union Berlin
01/10/2025 - 01/12/2025,16,RB Leipzig,SV Werder Bremen
01/14/2025 - 01/15/2025,17,SV Werder Bremen,1. FC Heidenheim 1846
01/17/2025 - 01/19/2025,18,SV Werder Bremen,FC Augsburg
01/24/2025 - 01/26/2025,19,Borussia Dortmund,SV Werder Bremen
01/31/2025 - 02/02/2025,20,SV Werder Bremen,1. FSV Mainz 05
02/07/2025 - 02/09/2025,21,FC Bayern München,SV Werder Bremen
02/14/2025 - 02/16/2025,22,SV Werder Bremen,TSG Hoffenheim
02/21/2025 - 02/23/2025,23,Sport-Club Freiburg,SV Werder Bremen
02/28/2025 - 03/02/2025,24,SV Werder Bremen,VfL Wolfsburg
03/07/2025 - 03/09/2025,25,Bayer 04 Leverkusen,SV Werder Bremen
03/14/2025 - 03/16/2025,26,SV Werder Bremen,Borussia Mönchengladbach
03/28/2025 - 03/30/2025,27,Holstein Kiel,SV Werder Bremen
04/04/2025 - 04/06/2025,28,SV Werder Bremen,Eintracht Frankfurt
04/11/2025 - 04/13/2025,29,VfB Stuttgart,SV Werder Bremen
04/19/2025 - 04/20/2025,30,SV Werder Bremen,VfL Bochum 1848
04/25/2025 - 04/27/2025,31,SV Werder Bremen,FC St. Pauli
05/02/2025 - 05/04/2025,32,1. FC Union Berlin,SV Werder Bremen
05/09/2025 - 05/11/2025,33,SV Werder Bremen,RB Leipzig
05/17/2025,34,1. FC Heidenheim 1846,SV Werder Bremen
