Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,TSG Hoffenheim,Holstein Kiel
08/30/2024 - 09/01/2024,2,Eintracht Frankfurt,TSG Hoffenheim
09/13/2024 - 09/15/2024,3,TSG Hoffenheim,Bayer 04 Leverkusen
09/20/2024 - 09/22/2024,4,1. FC Union Berlin,TSG Hoffenheim
09/27/2024 - 09/29/2024,5,TSG Hoffenheim,SV Werder Bremen
10/04/2024 - 10/06/2024,6,VfB Stuttgart,TSG Hoffenheim
10/18/2024 - 10/20/2024,7,TSG Hoffenheim,VfL Bochum 1848
10/25/2024 - 10/27/2024,8,1. FC Heidenheim 1846,TSG Hoffenheim
11/01/2024 - 11/03/2024,9,TSG Hoffenheim,FC St. Pauli
11/08/2024 - 11/10/2024,10,FC Augsburg,TSG Hoffenheim
11/22/2024 - 11/24/2024,11,TSG Hoffenheim,RB Leipzig
11/29/2024 - 12/01/2024,12,1. FSV Mainz 05,TSG Hoffenheim
12/06/2024 - 12/08/2024,13,TSG Hoffenheim,Sport-Club Freiburg
12/13/2024 - 12/15/2024,14,Borussia Dortmund,TSG Hoffenheim
12/20/2024 - 12/22/2024,15,TSG Hoffenheim,Borussia Mönchengladbach
01/10/2025 - 01/12/2025,16,TSG Hoffenheim,VfL Wolfsburg
01/14/2025 - 01/15/2025,17,FC Bayern München,TSG Hoffenheim
01/17/2025 - 01/19/2025,18,Holstein Kiel,TSG Hoffenheim
01/24/2025 - 01/26/2025,19,TSG Hoffenheim,Eintracht Frankfurt
01/31/2025 - 02/02/2025,20,Bayer 04 Leverkusen,TSG Hoffenheim
02/07/2025 - 02/09/2025,21,TSG Hoffenheim,1. FC Union Berlin
02/14/2025 - 02/16/2025,22,SV Werder Bremen,TSG Hoffenheim
02/21/2025 - 02/23/2025,23,TSG Hoffenheim,VfB Stuttgart
02/28/2025 - 03/02/2025,24,VfL Bochum 1848,TSG Hoffenheim
03/07/2025 - 03/09/2025,25,TSG Hoffenheim,1. FC Heidenheim 1846
03/14/2025 - 03/16/2025,26,FC St. Pauli,TSG Hoffenheim
03/28/2025 - 03/30/2025,27,TSG Hoffenheim,FC Augsburg
04/04/2025 - 04/06/2025,28,RB Leipzig,TSG Hoffenheim
04/11/2025 - 04/13/2025,29,TSG Hoffenheim,1. FSV Mainz 05
04/19/2025 - 04/20/2025,30,Sport-Club Freiburg,TSG Hoffenheim
04/25/2025 - 04/27/2025,31,TSG Hoffenheim,Borussia Dortmund
05/02/2025 - 05/04/2025,32,Borussia Mönchengladbach,TSG Hoffenheim
05/09/2025 - 05/11/2025,33,VfL Wolfsburg,TSG Hoffenheim
05/17/2025,34,TSG Hoffenheim,FC Bayern München
