Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,Sport-Club Freiburg,VfB Stuttgart
08/30/2024 - 09/01/2024,2,VfB Stuttgart,1. FSV Mainz 05
09/13/2024 - 09/15/2024,3,Borussia Mönchengladbach,VfB Stuttgart
09/20/2024 - 09/22/2024,4,VfB Stuttgart,Borussia Dortmund
09/27/2024 - 09/29/2024,5,VfL Wolfsburg,VfB Stuttgart
10/04/2024 - 10/06/2024,6,VfB Stuttgart,TSG Hoffenheim
10/18/2024 - 10/20/2024,7,FC Bayern München,VfB Stuttgart
10/25/2024 - 10/27/2024,8,VfB Stuttgart,Holstein Kiel
11/01/2024 - 11/03/2024,9,Bayer 04 Leverkusen,VfB Stuttgart
11/08/2024 - 11/10/2024,10,VfB Stuttgart,Eintracht Frankfurt
11/22/2024 - 11/24/2024,11,VfB Stuttgart,VfL Bochum 1848
11/29/2024 - 12/01/2024,12,SV Werder Bremen,VfB Stuttgart
12/06/2024 - 12/08/2024,13,VfB Stuttgart,1. FC Union Berlin
12/13/2024 - 12/15/2024,14,1. FC Heidenheim 1846,VfB Stuttgart
12/20/2024 - 12/22/2024,15,VfB Stuttgart,FC St. Pauli
01/10/2025 - 01/12/2025,16,FC Augsburg,VfB Stuttgart
01/14/2025 - 01/15/2025,17,VfB Stuttgart,RB Leipzig
01/17/2025 - 01/19/2025,18,VfB Stuttgart,Sport-Club Freiburg
01/24/2025 - 01/26/2025,19,1. FSV Mainz 05,VfB Stuttgart
01/31/2025 - 02/02/2025,20,VfB Stuttgart,Borussia Mönchengladbach
02/07/2025 - 02/09/2025,21,Borussia Dortmund,VfB Stuttgart
02/14/2025 - 02/16/2025,22,VfB Stuttgart,VfL Wolfsburg
02/21/2025 - 02/23/2025,23,TSG Hoffenheim,VfB Stuttgart
02/28/2025 - 03/02/2025,24,VfB Stuttgart,FC Bayern München
03/07/2025 - 03/09/2025,25,Holstein Kiel,VfB Stuttgart
03/14/2025 - 03/16/2025,26,VfB Stuttgart,Bayer 04 Leverkusen
03/28/2025 - 03/30/2025,27,Eintracht Frankfurt,VfB Stuttgart
04/04/2025 - 04/06/2025,28,VfL Bochum 1848,VfB Stuttgart
04/11/2025 - 04/13/2025,29,VfB Stuttgart,SV Werder Bremen
04/19/2025 - 04/20/2025,30,1. FC Union Berlin,VfB Stuttgart
04/25/2025 - 04/27/2025,31,VfB Stuttgart,1. FC Heidenheim 1846
05/02/2025 - 05/04/2025,32,FC St. Pauli,VfB Stuttgart
05/09/2025 - 05/11/2025,33,VfB Stuttgart,FC Augsburg
05/17/2025,34,RB Leipzig,VfB Stuttgart
