Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,VfL Wolfsburg,FC Bayern München
08/30/2024 - 09/01/2024,2,Holstein Kiel,VfL Wolfsburg
09/13/2024 - 09/15/2024,3,VfL Wolfsburg,Eintracht Frankfurt
09/20/2024 - 09/22/2024,4,Bayer 04 Leverkusen,VfL Wolfsburg
09/27/2024 - 09/29/2024,5,VfL Wolfsburg,VfB Stuttgart
10/04/2024 - 10/06/2024,6,VfL Bochum 1848,VfL Wolfsburg
10/18/2024 - 10/20/2024,7,VfL Wolfsburg,SV Werder Bremen
10/25/2024 - 10/27/2024,8,FC St. Pauli,VfL Wolfsburg
11/01/2024 - 11/03/2024,9,VfL Wolfsburg,FC Augsburg
11/08/2024 - 11/10/2024,10,1. FC Heidenheim 1846,VfL Wolfsburg
11/22/2024 - 11/24/2024,11,VfL Wolfsburg,1. FC Union Berlin
11/29/2024 - 12/01/2024,12,RB Leipzig,VfL Wolfsburg
12/06/2024 - 12/08/2024,13,VfL Wolfsburg,1. FSV Mainz 05
12/13/2024 - 12/15/2024,14,Sport-Club Freiburg,VfL Wolfsburg
12/20/2024 - 12/22/2024,15,VfL Wolfsburg,Borussia Dortmund
01/10/2025 - 01/12/2025,16,TSG Hoffenheim,VfL Wolfsburg
01/14/2025 - 01/15/2025,17,VfL Wolfsburg,Borussia Mönchengladbach
01/17/2025 - 01/19/2025,18,FC Bayern München,VfL Wolfsburg
01/24/2025 - 01/26/2025,19,VfL Wolfsburg,Holstein Kiel
01/31/2025 - 02/02/2025,20,Eintracht Frankfurt,VfL Wolfsburg
02/07/2025 - 02/09/2025,21,VfL Wolfsburg,Bayer 04 Leverkusen
02/14/2025 - 02/16/2025,22,VfB Stuttgart,VfL Wolfsburg
02/21/2025 - 02/23/2025,23,VfL Wolfsburg,VfL Bochum 1848
02/28/2025 - 03/02/2025,24,SV Werder Bremen,VfL Wolfsburg
03/07/2025 - 03/09/2025,25,VfL Wolfsburg,FC St. Pauli
03/14/2025 - 03/16/2025,26,FC Augsburg,VfL Wolfsburg
03/28/2025 - 03/30/2025,27,VfL Wolfsburg,1. FC Heidenheim 1846
04/04/2025 - 04/06/2025,28,1. FC Union Berlin,VfL Wolfsburg
04/11/2025 - 04/13/2025,29,VfL Wolfsburg,RB Leipzig
04/19/2025 - 04/20/2025,30,1. FSV Mainz 05,VfL Wolfsburg
04/25/2025 - 04/27/2025,31,VfL Wolfsburg,Sport-Club Freiburg
05/02/2025 - 05/04/2025,32,Borussia Dortmund,VfL Wolfsburg
05/09/2025 - 05/11/2025,33,VfL Wolfsburg,TSG Hoffenheim
05/17/2025,34,Borussia Mönchengladbach,VfL Wolfsburg
