Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mainz 05,Union Berlin,2.4995,0.8728,72.75,16.2,11.05
Union Berlin,St. Pauli,2.3882,1.373,60.05,19.12,20.83
RB Leipzig,Union Berlin,2.5244,0.9284,71.48,16.14,12.38
Union Berlin,Hoffenheim,1.6714,1.9798,33.67,21.26,45.07
Mönchengladbach,Union Berlin,1.5326,1.1722,46.07,25.57,28.36
Union Berlin,Dortmund,1.8668,2.292,31.58,20.21,48.21
Holstein Kiel,Union Berlin,1.4921,1.2106,42.72,26.18,31.1
Union Berlin,Eintracht Frankfurt,1.9043,1.7923,42.16,20.98,36.86
Bayern Munich,Union Berlin,2.3371,0.896,68.79,18.24,12.97
Union Berlin,Freiburg,1.7771,1.1726,51.37,23.39,25.24
Wolfsburg,Union Berlin,1.1969,1.1599,37.36,27.22,35.42
Union Berlin,Bayer Leverkusen,1.288,2.3821,19.48,18.55,61.97
Stuttgart,Union Berlin,2.3656,0.8337,72.14,15.9,11.96
Union Berlin,Bochum,2.1793,1.8186,46.98,20.31,32.71
Werder Bremen,Union Berlin,2.3283,0.7935,71.28,17.39,11.33
Heidenheim,Union Berlin,1.5139,1.1161,47.05,25.51,27.44
Union Berlin,Augsburg,1.7471,1.0056,54.01,23.87,22.12
Union Berlin,Mainz 05,1.3752,1.4862,35.16,24.04,40.8
St. Pauli,Union Berlin,2.2734,1.2882,59.22,19.78,21.0
Union Berlin,RB Leipzig,1.706,1.6966,38.8,23.28,37.92
Hoffenheim,Union Berlin,2.3449,1.1606,63.73,18.6,17.67
Union Berlin,Mönchengladbach,1.9584,1.0467,58.52,22.33,19.15
Dortmund,Union Berlin,2.4455,0.9766,69.31,17.31,13.38
Union Berlin,Holstein Kiel,1.801,1.0791,54.08,23.38,22.54
Eintracht Frankfurt,Union Berlin,2.3497,1.1325,64.1,19.03,16.87
Union Berlin,Bayern Munich,1.8846,1.8199,40.69,21.57,37.74
Freiburg,Union Berlin,1.8985,1.0404,57.26,22.57,20.17
Union Berlin,Wolfsburg,1.7511,0.9684,55.46,23.77,20.77
Bayer Leverkusen,Union Berlin,2.3579,0.8363,71.82,16.59,11.59
Union Berlin,Stuttgart,1.5826,2.0693,29.44,21.57,48.99
Bochum,Union Berlin,2.4938,1.3841,62.47,17.75,19.78
Union Berlin,Werder Bremen,1.5853,2.0502,29.61,21.57,48.82
Union Berlin,Heidenheim,1.6166,0.9364,53.32,25.12,21.56
Augsburg,Union Berlin,1.3776,1.561,34.33,23.19,42.48
