Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mainz 05,Union Berlin,2.4995,0.8728,72.89,15.99,11.12
Stuttgart,Mainz 05,1.3137,1.166,38.81,26.95,34.24
Mainz 05,Werder Bremen,1.3423,1.7026,30.98,23.29,45.73
Augsburg,Mainz 05,1.1679,1.5707,28.08,25.46,46.46
Mainz 05,Heidenheim,1.4571,0.7624,53.59,26.86,19.55
St. Pauli,Mainz 05,1.4275,1.4381,36.96,25.11,37.93
Mainz 05,RB Leipzig,1.6383,1.2907,46.29,23.88,29.83
Mainz 05,Mönchengladbach,2.0685,0.8546,65.64,19.87,14.49
Freiburg,Mainz 05,1.3835,1.1829,42.37,26.31,31.32
Mainz 05,Dortmund,1.8725,1.687,42.46,22.36,35.18
Holstein Kiel,Mainz 05,1.1136,1.3571,30.62,26.9,42.48
Mainz 05,Hoffenheim,1.702,1.5149,41.8,24.2,34.0
Wolfsburg,Mainz 05,0.8885,1.4788,22.54,26.19,51.27
Mainz 05,Bayern Munich,1.8737,1.2615,52.24,22.22,25.54
Eintracht Frankfurt,Mainz 05,1.1109,1.4887,28.73,25.11,46.16
Mainz 05,Bochum,2.355,1.1624,64.31,18.75,16.94
Bayer Leverkusen,Mainz 05,1.7896,1.3042,49.04,22.97,27.99
Union Berlin,Mainz 05,1.3752,1.4862,34.62,24.86,40.52
Mainz 05,Stuttgart,1.3415,1.6576,31.03,24.45,44.52
Werder Bremen,Mainz 05,1.2779,1.1333,40.03,27.35,32.62
Mainz 05,Augsburg,1.9696,0.8421,64.22,20.52,15.26
Heidenheim,Mainz 05,1.0865,1.4265,29.08,26.77,44.15
Mainz 05,St. Pauli,2.6156,0.8925,74.32,14.98,10.7
RB Leipzig,Mainz 05,1.1523,1.3029,32.93,27.1,39.97
Mönchengladbach,Mainz 05,1.1671,1.2479,34.91,26.74,38.35
Mainz 05,Freiburg,1.6664,1.2096,48.3,23.47,28.23
Dortmund,Mainz 05,1.3834,1.3785,36.75,25.45,37.8
Mainz 05,Holstein Kiel,1.8299,0.8451,61.01,22.52,16.47
Hoffenheim,Mainz 05,1.6626,1.3875,44.4,24.31,31.29
Mainz 05,Wolfsburg,1.6679,0.7839,58.57,24.22,17.21
Bayern Munich,Mainz 05,1.2414,1.2968,35.47,26.41,38.12
Mainz 05,Eintracht Frankfurt,2.0216,1.1469,57.31,21.03,21.66
Bochum,Mainz 05,1.312,1.6675,29.87,23.3,46.83
Mainz 05,Bayer Leverkusen,1.143,1.622,26.88,24.94,48.18
