Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mönchengladbach,Bayer Leverkusen,1.0543,2.4988,13.64,16.87,69.49
Bayer Leverkusen,RB Leipzig,1.7435,1.3551,46.82,22.95,30.23
Hoffenheim,Bayer Leverkusen,1.6747,1.8397,35.33,22.08,42.59
Bayer Leverkusen,Wolfsburg,2.0228,0.8458,64.68,20.33,14.99
Bayern Munich,Bayer Leverkusen,1.2779,1.9024,25.83,21.91,52.26
Bayer Leverkusen,Holstein Kiel,2.1708,0.9304,65.24,19.61,15.15
Bayer Leverkusen,Eintracht Frankfurt,2.3635,1.1384,64.31,18.45,17.24
Werder Bremen,Bayer Leverkusen,1.3943,1.6997,31.14,23.58,45.28
Bayer Leverkusen,Stuttgart,1.8044,1.5646,43.61,22.46,33.93
Bochum,Bayer Leverkusen,1.3255,2.4502,20.38,18.54,61.08
Bayer Leverkusen,Heidenheim,1.9302,0.7322,65.24,21.44,13.32
Union Berlin,Bayer Leverkusen,1.288,2.3821,19.63,18.68,61.69
Bayer Leverkusen,St. Pauli,2.5109,0.7954,74.7,15.86,9.44
Augsburg,Bayer Leverkusen,1.0342,2.5673,12.56,16.68,70.76
Bayer Leverkusen,Freiburg,2.036,1.1495,57.82,21.65,20.53
Dortmund,Bayer Leverkusen,1.4448,1.8056,31.29,22.45,46.26
Bayer Leverkusen,Mainz 05,1.7896,1.3042,49.47,22.99,27.54
Bayer Leverkusen,Mönchengladbach,2.1999,0.943,66.45,19.34,14.21
RB Leipzig,Bayer Leverkusen,1.2141,1.7274,26.88,23.5,49.62
Bayer Leverkusen,Hoffenheim,2.2102,1.467,54.46,20.53,25.01
Wolfsburg,Bayer Leverkusen,0.8988,2.0576,15.88,19.68,64.44
Bayer Leverkusen,Bayern Munich,2.1698,1.3409,56.29,20.87,22.84
Holstein Kiel,Bayer Leverkusen,1.0113,2.4698,13.74,17.67,68.59
Eintracht Frankfurt,Bayer Leverkusen,1.1753,2.3465,17.67,18.76,63.57
Bayer Leverkusen,Werder Bremen,1.7994,1.5942,43.6,23.13,33.27
Stuttgart,Bayer Leverkusen,1.426,1.664,32.81,23.8,43.39
Bayer Leverkusen,Bochum,2.5712,1.0429,70.82,16.65,12.53
Heidenheim,Bayer Leverkusen,1.0286,1.9864,19.07,21.28,59.65
Bayer Leverkusen,Union Berlin,2.3579,0.8363,71.52,16.95,11.53
St. Pauli,Bayer Leverkusen,1.3127,2.2618,21.33,19.63,59.04
Bayer Leverkusen,Augsburg,2.2908,0.8925,67.66,18.49,13.85
Freiburg,Bayer Leverkusen,1.1889,1.9658,22.42,22.28,55.3
Bayer Leverkusen,Dortmund,2.1688,1.4993,52.9,20.66,26.44
Mainz 05,Bayer Leverkusen,1.143,1.622,27.05,24.06,48.89
