Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Dortmund,Eintracht Frankfurt,2.2673,1.3023,58.2,20.31,21.49
Eintracht Frankfurt,Hoffenheim,1.6911,1.7917,36.43,22.04,41.53
Wolfsburg,Eintracht Frankfurt,1.1182,1.3731,30.61,26.99,42.4
Eintracht Frankfurt,Mönchengladbach,1.9801,1.07,58.63,20.78,20.59
Holstein Kiel,Eintracht Frankfurt,1.4432,1.4823,36.56,24.69,38.75
Eintracht Frankfurt,Bayern Munich,1.8695,1.6353,43.69,21.97,34.34
Bayer Leverkusen,Eintracht Frankfurt,2.3635,1.1384,64.28,18.87,16.85
Union Berlin,Eintracht Frankfurt,1.9043,1.7923,41.74,20.9,37.36
Eintracht Frankfurt,Bochum,2.2384,1.614,52.09,19.92,27.99
Stuttgart,Eintracht Frankfurt,2.1187,1.0197,62.52,20.19,17.29
Eintracht Frankfurt,Werder Bremen,1.4202,2.0157,26.87,20.73,52.4
Heidenheim,Eintracht Frankfurt,1.4218,1.353,38.91,25.81,35.28
Eintracht Frankfurt,Augsburg,1.7012,1.037,52.98,24.23,22.79
RB Leipzig,Eintracht Frankfurt,2.0016,1.1908,56.14,21.26,22.6
Eintracht Frankfurt,Mainz 05,1.1109,1.4887,27.84,25.67,46.49
St. Pauli,Eintracht Frankfurt,1.8963,1.738,42.94,22.2,34.86
Eintracht Frankfurt,Freiburg,1.6654,1.2078,47.1,24.98,27.92
Eintracht Frankfurt,Dortmund,1.8837,2.1293,35.84,19.83,44.33
Hoffenheim,Eintracht Frankfurt,2.3017,1.3129,59.38,19.62,21.0
Eintracht Frankfurt,Wolfsburg,1.6845,0.9781,54.46,23.81,21.73
Mönchengladbach,Eintracht Frankfurt,1.4915,1.4104,39.43,24.62,35.95
Eintracht Frankfurt,Holstein Kiel,1.8016,1.0948,53.2,22.96,23.84
Bayern Munich,Eintracht Frankfurt,1.9262,1.2418,53.27,22.35,24.38
Eintracht Frankfurt,Bayer Leverkusen,1.1753,2.3465,17.24,19.18,63.58
Eintracht Frankfurt,Union Berlin,2.3497,1.1325,65.1,18.39,16.51
Bochum,Eintracht Frankfurt,2.0815,1.9224,42.06,21.01,36.93
Eintracht Frankfurt,Stuttgart,1.4234,1.9799,28.18,21.68,50.14
Werder Bremen,Eintracht Frankfurt,2.0487,0.9975,61.39,21.01,17.6
Eintracht Frankfurt,Heidenheim,1.5057,0.9582,50.65,26.06,23.29
Augsburg,Eintracht Frankfurt,1.3286,1.747,29.35,23.69,46.96
Eintracht Frankfurt,RB Leipzig,1.6218,1.5915,38.55,24.13,37.32
Mainz 05,Eintracht Frankfurt,2.0216,1.1469,57.37,21.35,21.28
Eintracht Frankfurt,St. Pauli,2.4723,1.1433,66.75,17.59,15.66
Freiburg,Eintracht Frankfurt,1.6212,1.1613,48.77,23.79,27.44
