Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Augsburg,Werder Bremen,1.184,2.3827,16.81,18.83,64.36
Heidenheim,Augsburg,1.5765,1.0239,49.87,25.44,24.69
Augsburg,St. Pauli,1.424,1.5252,35.35,24.2,40.45
Augsburg,Mainz 05,1.1679,1.5707,28.34,25.1,46.56
RB Leipzig,Augsburg,2.005,0.8848,63.5,20.55,15.95
Augsburg,Mönchengladbach,1.4143,1.2485,41.53,25.31,33.16
Freiburg,Augsburg,1.6804,1.0626,52.19,23.74,24.07
Augsburg,Dortmund,1.2365,2.6859,14.97,16.58,68.45
Wolfsburg,Augsburg,1.2851,1.0148,42.61,28.63,28.76
Augsburg,Hoffenheim,1.1558,2.3749,17.15,19.02,63.83
Bayern Munich,Augsburg,1.8222,0.8054,61.36,22.62,16.02
Augsburg,Bochum,1.3819,1.8188,28.63,23.01,48.36
Eintracht Frankfurt,Augsburg,1.7012,1.037,53.1,23.91,22.99
Augsburg,Bayer Leverkusen,1.0342,2.5673,13.07,16.68,70.25
Holstein Kiel,Augsburg,1.5136,1.0616,47.33,25.77,26.9
Augsburg,Stuttgart,1.1742,2.4043,17.11,18.2,64.69
Union Berlin,Augsburg,1.7471,1.0056,55.0,23.68,21.32
Werder Bremen,Augsburg,2.2736,0.8889,67.82,18.64,13.54
Augsburg,Heidenheim,1.1738,1.115,37.16,28.26,34.58
St. Pauli,Augsburg,1.7663,0.9461,57.26,23.38,19.36
Mainz 05,Augsburg,1.9696,0.8421,63.89,21.1,15.01
Augsburg,RB Leipzig,1.1639,1.6814,27.74,23.91,48.35
Mönchengladbach,Augsburg,1.5465,1.2164,45.04,24.12,30.84
Augsburg,Freiburg,1.1381,1.4479,29.61,26.37,44.02
Dortmund,Augsburg,2.5227,0.9188,72.14,16.28,11.58
Augsburg,Wolfsburg,1.2511,1.0748,40.11,28.2,31.69
Hoffenheim,Augsburg,2.3856,0.8841,70.77,17.4,11.83
Augsburg,Bayern Munich,1.2763,1.7576,27.8,23.72,48.48
Bochum,Augsburg,2.1064,0.9858,62.99,20.65,16.36
Augsburg,Eintracht Frankfurt,1.3286,1.747,28.34,23.19,48.47
Bayer Leverkusen,Augsburg,2.2908,0.8925,69.74,17.37,12.89
Augsburg,Holstein Kiel,1.3865,1.335,38.27,25.0,36.73
Stuttgart,Augsburg,2.3502,0.9583,68.79,17.24,13.97
Augsburg,Union Berlin,1.3776,1.561,33.65,24.71,41.64
