Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
St. Pauli,Heidenheim,1.6194,0.8722,55.73,24.07,20.2
Union Berlin,St. Pauli,2.3882,1.373,60.48,19.01,20.51
Augsburg,St. Pauli,1.424,1.5252,36.09,23.85,40.06
St. Pauli,RB Leipzig,1.7436,1.6254,40.63,22.95,36.42
Freiburg,St. Pauli,1.9904,1.0322,59.69,21.63,18.68
St. Pauli,Mainz 05,1.4275,1.4381,37.53,24.5,37.97
Dortmund,St. Pauli,2.5464,0.9939,70.91,16.72,12.37
St. Pauli,Wolfsburg,1.762,0.9203,57.66,22.7,19.64
Hoffenheim,St. Pauli,2.4258,1.1353,65.97,17.29,16.74
St. Pauli,Bayern Munich,1.9156,1.7475,42.44,21.83,35.73
Mönchengladbach,St. Pauli,1.5793,1.1927,46.69,24.29,29.02
St. Pauli,Holstein Kiel,1.827,1.0374,55.85,22.8,21.35
Bayer Leverkusen,St. Pauli,2.5109,0.7954,74.98,15.26,9.76
St. Pauli,Werder Bremen,1.5985,1.9859,31.92,20.82,47.26
Stuttgart,St. Pauli,2.4765,0.8366,73.71,16.33,9.96
St. Pauli,Eintracht Frankfurt,1.8963,1.738,42.83,21.57,35.6
Bochum,St. Pauli,2.5963,1.4406,62.38,18.14,19.48
Heidenheim,St. Pauli,1.5256,1.0984,46.72,25.29,27.99
St. Pauli,Union Berlin,2.2734,1.2882,58.63,19.92,21.45
St. Pauli,Augsburg,1.7663,0.9461,55.94,23.63,20.43
RB Leipzig,St. Pauli,2.6226,0.9261,73.29,15.37,11.34
St. Pauli,Freiburg,1.8117,1.1151,54.07,23.52,22.41
Mainz 05,St. Pauli,2.6156,0.8925,74.46,15.39,10.15
St. Pauli,Dortmund,1.8916,2.2894,32.52,20.12,47.36
Wolfsburg,St. Pauli,1.2056,1.148,37.86,27.66,34.48
St. Pauli,Hoffenheim,1.679,1.9884,33.51,20.9,45.59
Bayern Munich,St. Pauli,2.4432,0.9257,71.73,16.84,11.43
St. Pauli,Mönchengladbach,1.9633,1.0101,58.85,21.2,19.95
Holstein Kiel,St. Pauli,1.5469,1.2507,43.86,25.23,30.91
St. Pauli,Bayer Leverkusen,1.3127,2.2618,22.11,19.78,58.11
Werder Bremen,St. Pauli,2.4228,0.8067,72.84,16.38,10.78
St. Pauli,Stuttgart,1.5929,2.005,30.96,21.14,47.9
Eintracht Frankfurt,St. Pauli,2.4723,1.1433,67.09,17.61,15.3
St. Pauli,Bochum,2.1421,1.7781,47.01,20.01,32.98
