Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Hoffenheim,Holstein Kiel,2.2519,0.8889,67.29,18.92,13.79
Holstein Kiel,Wolfsburg,1.2408,0.9346,42.53,29.36,28.11
Holstein Kiel,Bayern Munich,1.365,1.4894,33.98,25.63,40.39
Bochum,Holstein Kiel,1.9524,1.0613,57.84,21.94,20.22
Holstein Kiel,Eintracht Frankfurt,1.4432,1.4823,36.48,24.59,38.93
Bayer Leverkusen,Holstein Kiel,2.1708,0.9304,65.77,19.06,15.17
Holstein Kiel,Union Berlin,1.4921,1.2106,44.19,25.14,30.67
Stuttgart,Holstein Kiel,1.9235,1.0101,58.5,21.42,20.08
Holstein Kiel,Heidenheim,1.1643,0.9525,41.46,28.45,30.09
Werder Bremen,Holstein Kiel,1.8647,0.9513,58.86,22.12,19.02
Holstein Kiel,Mainz 05,1.1136,1.3571,30.85,27.42,41.73
St. Pauli,Holstein Kiel,1.827,1.0374,55.39,23.49,21.12
Holstein Kiel,RB Leipzig,1.1931,1.4206,32.1,25.91,41.99
Mönchengladbach,Holstein Kiel,1.4456,1.3201,39.86,25.74,34.4
Holstein Kiel,Augsburg,1.5136,1.0616,46.31,26.24,27.45
Freiburg,Holstein Kiel,1.477,1.1579,44.56,24.96,30.48
Holstein Kiel,Dortmund,1.3115,2.1895,22.22,19.68,58.1
Holstein Kiel,Hoffenheim,1.2314,2.002,23.49,21.29,55.22
Wolfsburg,Holstein Kiel,1.1645,1.0846,37.88,28.26,33.86
Bayern Munich,Holstein Kiel,1.8289,0.8232,61.17,22.22,16.61
Holstein Kiel,Bochum,1.5028,1.4679,39.41,24.31,36.28
Eintracht Frankfurt,Holstein Kiel,1.8016,1.0948,53.88,23.53,22.59
Holstein Kiel,Bayer Leverkusen,1.0113,2.4698,13.39,17.78,68.83
Union Berlin,Holstein Kiel,1.801,1.0791,54.57,22.77,22.66
Holstein Kiel,Stuttgart,1.1778,2.1326,20.69,20.77,58.54
Heidenheim,Holstein Kiel,1.4081,1.087,45.35,26.38,28.27
Holstein Kiel,Werder Bremen,1.1811,2.1755,20.19,19.72,60.09
Mainz 05,Holstein Kiel,1.8299,0.8451,60.93,22.03,17.04
Holstein Kiel,St. Pauli,1.5469,1.2507,43.71,25.39,30.9
RB Leipzig,Holstein Kiel,1.8009,0.9096,58.29,23.39,18.32
Holstein Kiel,Mönchengladbach,1.4665,1.1271,44.43,26.42,29.15
Augsburg,Holstein Kiel,1.3865,1.335,37.62,25.64,36.74
Holstein Kiel,Freiburg,1.1556,1.2099,34.62,27.99,37.39
Dortmund,Holstein Kiel,2.1913,0.9162,66.56,18.95,14.49
