Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Augsburg,Werder Bremen,1.184,2.3827,17.48,18.64,63.88
Werder Bremen,Dortmund,1.8266,1.4932,45.64,22.83,31.53
Mainz 05,Werder Bremen,1.3423,1.7026,30.41,23.48,46.11
Werder Bremen,Bayern Munich,1.7722,1.1662,51.59,23.36,25.05
Hoffenheim,Werder Bremen,1.6593,1.4349,43.16,23.24,33.6
Werder Bremen,Freiburg,1.4998,1.2471,43.91,24.14,31.95
Wolfsburg,Werder Bremen,0.9258,2.1163,14.99,20.59,64.42
Werder Bremen,Bayer Leverkusen,1.3943,1.6997,30.78,24.45,44.77
Mönchengladbach,Werder Bremen,1.2381,2.1866,20.54,20.0,59.46
Werder Bremen,Holstein Kiel,1.8647,0.9513,58.69,22.77,18.54
Eintracht Frankfurt,Werder Bremen,1.4202,2.0157,27.73,21.98,50.29
Werder Bremen,Stuttgart,1.4732,1.5329,36.7,24.04,39.26
Bochum,Werder Bremen,1.5331,2.1382,28.03,20.38,51.59
St. Pauli,Werder Bremen,1.5985,1.9859,31.58,21.47,46.95
Werder Bremen,Union Berlin,2.3283,0.7935,71.03,17.33,11.64
RB Leipzig,Werder Bremen,1.3928,1.6208,33.22,23.83,42.95
Werder Bremen,Heidenheim,1.5876,0.7906,56.01,25.47,18.52
Werder Bremen,Augsburg,2.2736,0.8889,69.38,17.43,13.19
Dortmund,Werder Bremen,1.532,1.6639,35.57,23.04,41.39
Werder Bremen,Mainz 05,1.2779,1.1333,39.75,27.49,32.76
Bayern Munich,Werder Bremen,1.5229,1.6959,35.55,22.62,41.83
Werder Bremen,Hoffenheim,1.6948,1.4269,44.14,23.74,32.12
Freiburg,Werder Bremen,1.437,1.8895,28.99,22.93,48.08
Werder Bremen,Wolfsburg,1.5086,0.8111,53.56,26.09,20.35
Bayer Leverkusen,Werder Bremen,1.7994,1.5942,43.12,22.41,34.47
Werder Bremen,Mönchengladbach,2.1097,0.9572,64.41,19.71,15.88
Holstein Kiel,Werder Bremen,1.1811,2.1755,19.61,19.65,60.74
Werder Bremen,Eintracht Frankfurt,2.0487,0.9975,61.85,21.02,17.13
Stuttgart,Werder Bremen,1.5054,1.5589,37.04,24.05,38.91
Werder Bremen,Bochum,2.3214,1.0065,66.72,18.61,14.67
Werder Bremen,St. Pauli,2.4228,0.8067,72.79,16.74,10.47
Union Berlin,Werder Bremen,1.5853,2.0502,29.37,21.69,48.94
Werder Bremen,RB Leipzig,1.5043,1.2132,44.18,25.05,30.77
Heidenheim,Werder Bremen,1.1436,2.0081,21.24,21.98,56.78
