Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Mainz 05,Union Berlin,0.68,0.28,0.04
Union Berlin,St. Pauli,0.52,0.23,0.25
RB Leipzig,Union Berlin,0.83,0.14,0.03
Union Berlin,Hoffenheim,0.24,0.24,0.52
Mönchengladbach,Union Berlin,0.23,0.32,0.45
Union Berlin,Dortmund,0.16,0.5,0.34
Holstein Kiel,Union Berlin,0.22,0.3,0.48
Union Berlin,Eintracht Frankfurt,0.2,0.34,0.46
Bayern Munich,Union Berlin,0.85,0.1,0.05
Union Berlin,Freiburg,0.77,0.15,0.08
Wolfsburg,Union Berlin,0.4,0.4,0.2
Union Berlin,Bayer Leverkusen,0.02,0.07,0.91
Stuttgart,Union Berlin,0.85,0.12,0.03
Union Berlin,Bochum,0.3,0.29,0.41
Werder Bremen,Union Berlin,0.86,0.1,0.04
Heidenheim,Union Berlin,0.59,0.27,0.14
Union Berlin,Augsburg,0.8,0.13,0.07
Union Berlin,Mainz 05,0.09,0.28,0.63
St. Pauli,Union Berlin,0.45,0.21,0.34
Union Berlin,RB Leipzig,0.14,0.26,0.6
Hoffenheim,Union Berlin,0.9,0.09,0.01
Union Berlin,Mönchengladbach,0.48,0.21,0.31
Dortmund,Union Berlin,0.78,0.11,0.11
Union Berlin,Holstein Kiel,0.75,0.19,0.06
Eintracht Frankfurt,Union Berlin,0.47,0.22,0.31
Union Berlin,Bayern Munich,0.15,0.39,0.46
Freiburg,Union Berlin,0.5,0.22,0.28
Union Berlin,Wolfsburg,0.44,0.3,0.26
Bayer Leverkusen,Union Berlin,0.93,0.05,0.02
Union Berlin,Stuttgart,0.09,0.26,0.65
Bochum,Union Berlin,0.32,0.19,0.49
Union Berlin,Werder Bremen,0.1,0.23,0.67
Union Berlin,Heidenheim,0.23,0.3,0.47
Augsburg,Union Berlin,0.17,0.2,0.63
