Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Mainz 05,Union Berlin,0.68,0.28,0.04
Stuttgart,Mainz 05,0.25,0.51,0.24
Mainz 05,Werder Bremen,0.23,0.53,0.24
Augsburg,Mainz 05,0.01,0.1,0.89
Mainz 05,Heidenheim,0.57,0.23,0.2
St. Pauli,Mainz 05,0.06,0.28,0.66
Mainz 05,RB Leipzig,0.41,0.44,0.15
Mainz 05,Mönchengladbach,0.73,0.19,0.08
Freiburg,Mainz 05,0.15,0.25,0.6
Mainz 05,Dortmund,0.46,0.41,0.13
Holstein Kiel,Mainz 05,0.02,0.23,0.75
Mainz 05,Hoffenheim,0.46,0.33,0.21
Wolfsburg,Mainz 05,0.03,0.14,0.83
Mainz 05,Bayern Munich,0.44,0.34,0.22
Eintracht Frankfurt,Mainz 05,0.09,0.2,0.71
Mainz 05,Bochum,0.69,0.25,0.06
Bayer Leverkusen,Mainz 05,0.52,0.31,0.17
Union Berlin,Mainz 05,0.09,0.28,0.63
Mainz 05,Stuttgart,0.23,0.55,0.22
Werder Bremen,Mainz 05,0.36,0.41,0.23
Mainz 05,Augsburg,0.9,0.07,0.03
Heidenheim,Mainz 05,0.29,0.2,0.51
Mainz 05,St. Pauli,0.78,0.18,0.04
RB Leipzig,Mainz 05,0.32,0.34,0.34
Mönchengladbach,Mainz 05,0.19,0.1,0.71
Mainz 05,Freiburg,0.62,0.33,0.05
Dortmund,Mainz 05,0.15,0.17,0.68
Mainz 05,Holstein Kiel,0.93,0.06,0.01
Hoffenheim,Mainz 05,0.28,0.23,0.49
Mainz 05,Wolfsburg,0.58,0.22,0.2
Bayern Munich,Mainz 05,0.31,0.23,0.46
Mainz 05,Eintracht Frankfurt,0.54,0.37,0.09
Bochum,Mainz 05,0.08,0.15,0.77
Mainz 05,Bayer Leverkusen,0.21,0.49,0.3
