Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Mönchengladbach,Bayer Leverkusen,0.15,0.08,0.77
Bayer Leverkusen,RB Leipzig,0.74,0.24,0.02
Hoffenheim,Bayer Leverkusen,0.17,0.32,0.51
Bayer Leverkusen,Wolfsburg,0.83,0.17,0.0
Bayern Munich,Bayer Leverkusen,0.16,0.13,0.71
Bayer Leverkusen,Holstein Kiel,0.97,0.03,0.0
Bayer Leverkusen,Eintracht Frankfurt,0.91,0.09,0.0
Werder Bremen,Bayer Leverkusen,0.28,0.53,0.19
Bayer Leverkusen,Stuttgart,0.63,0.29,0.08
Bochum,Bayer Leverkusen,0.02,0.02,0.96
Bayer Leverkusen,Heidenheim,0.82,0.16,0.02
Union Berlin,Bayer Leverkusen,0.02,0.07,0.91
Bayer Leverkusen,St. Pauli,0.91,0.07,0.02
Augsburg,Bayer Leverkusen,0.11,0.03,0.86
Bayer Leverkusen,Freiburg,0.84,0.16,0.0
Dortmund,Bayer Leverkusen,0.09,0.18,0.73
Bayer Leverkusen,Mainz 05,0.52,0.31,0.17
Bayer Leverkusen,Mönchengladbach,0.91,0.09,0.0
RB Leipzig,Bayer Leverkusen,0.2,0.39,0.41
Bayer Leverkusen,Hoffenheim,0.64,0.33,0.03
Wolfsburg,Bayer Leverkusen,0.16,0.37,0.47
Bayer Leverkusen,Bayern Munich,0.83,0.14,0.03
Holstein Kiel,Bayer Leverkusen,0.09,0.02,0.89
Eintracht Frankfurt,Bayer Leverkusen,0.1,0.06,0.84
Bayer Leverkusen,Werder Bremen,0.58,0.36,0.06
Stuttgart,Bayer Leverkusen,0.25,0.53,0.22
Bayer Leverkusen,Bochum,0.92,0.05,0.03
Heidenheim,Bayer Leverkusen,0.19,0.42,0.39
Bayer Leverkusen,Union Berlin,0.93,0.05,0.02
St. Pauli,Bayer Leverkusen,0.1,0.1,0.8
Bayer Leverkusen,Augsburg,0.95,0.04,0.01
Freiburg,Bayer Leverkusen,0.15,0.35,0.5
Bayer Leverkusen,Dortmund,0.79,0.19,0.02
Mainz 05,Bayer Leverkusen,0.21,0.49,0.3
