Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Dortmund,Eintracht Frankfurt,0.74,0.11,0.15
Werder Bremen,Dortmund,0.7,0.17,0.13
Dortmund,Heidenheim,0.41,0.21,0.38
Stuttgart,Dortmund,0.68,0.18,0.14
Dortmund,Bochum,0.71,0.13,0.16
Union Berlin,Dortmund,0.16,0.5,0.34
Dortmund,St. Pauli,0.81,0.14,0.05
Augsburg,Dortmund,0.1,0.17,0.73
Dortmund,RB Leipzig,0.3,0.19,0.51
Mainz 05,Dortmund,0.46,0.41,0.13
Dortmund,Freiburg,0.66,0.27,0.07
Dortmund,Bayern Munich,0.37,0.12,0.51
Mönchengladbach,Dortmund,0.26,0.3,0.44
Dortmund,Hoffenheim,0.51,0.18,0.31
Wolfsburg,Dortmund,0.31,0.53,0.16
Dortmund,Bayer Leverkusen,0.09,0.18,0.73
Holstein Kiel,Dortmund,0.14,0.38,0.48
Eintracht Frankfurt,Dortmund,0.17,0.39,0.44
Dortmund,Werder Bremen,0.17,0.15,0.68
Heidenheim,Dortmund,0.44,0.43,0.13
Dortmund,Stuttgart,0.2,0.12,0.68
Bochum,Dortmund,0.19,0.21,0.6
Dortmund,Union Berlin,0.78,0.11,0.11
St. Pauli,Dortmund,0.21,0.35,0.44
Dortmund,Augsburg,0.83,0.16,0.01
RB Leipzig,Dortmund,0.54,0.24,0.22
Dortmund,Mainz 05,0.15,0.17,0.68
Freiburg,Dortmund,0.26,0.56,0.18
Bayern Munich,Dortmund,0.46,0.22,0.32
Dortmund,Mönchengladbach,0.91,0.08,0.01
Hoffenheim,Dortmund,0.67,0.11,0.22
Dortmund,Wolfsburg,0.64,0.24,0.12
Bayer Leverkusen,Dortmund,0.79,0.19,0.02
Dortmund,Holstein Kiel,0.87,0.12,0.01
