Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Mönchengladbach,Bayer Leverkusen,0.15,0.08,0.77
Bochum,Mönchengladbach,0.44,0.2,0.36
Mönchengladbach,Stuttgart,0.41,0.1,0.49
Eintracht Frankfurt,Mönchengladbach,0.55,0.2,0.25
Mönchengladbach,Union Berlin,0.23,0.32,0.45
Augsburg,Mönchengladbach,0.25,0.49,0.26
Mönchengladbach,Heidenheim,0.15,0.26,0.59
Mainz 05,Mönchengladbach,0.73,0.19,0.08
Mönchengladbach,Werder Bremen,0.41,0.09,0.5
RB Leipzig,Mönchengladbach,0.83,0.11,0.06
Mönchengladbach,St. Pauli,0.39,0.33,0.28
Freiburg,Mönchengladbach,0.67,0.11,0.22
Mönchengladbach,Dortmund,0.26,0.3,0.44
Mönchengladbach,Holstein Kiel,0.42,0.54,0.04
Hoffenheim,Mönchengladbach,0.93,0.07,0.0
Mönchengladbach,Bayern Munich,0.24,0.17,0.59
Wolfsburg,Mönchengladbach,0.61,0.25,0.14
Bayer Leverkusen,Mönchengladbach,0.91,0.09,0.0
Mönchengladbach,Bochum,0.26,0.34,0.4
Stuttgart,Mönchengladbach,0.97,0.03,0.0
Mönchengladbach,Eintracht Frankfurt,0.22,0.35,0.43
Union Berlin,Mönchengladbach,0.48,0.21,0.31
Mönchengladbach,Augsburg,0.67,0.29,0.04
Heidenheim,Mönchengladbach,0.63,0.28,0.09
Mönchengladbach,Mainz 05,0.19,0.1,0.71
Werder Bremen,Mönchengladbach,0.97,0.03,0.0
Mönchengladbach,RB Leipzig,0.29,0.15,0.56
St. Pauli,Mönchengladbach,0.67,0.16,0.17
Mönchengladbach,Freiburg,0.52,0.3,0.18
Dortmund,Mönchengladbach,0.91,0.08,0.01
Holstein Kiel,Mönchengladbach,0.26,0.43,0.31
Mönchengladbach,Hoffenheim,0.12,0.1,0.78
Bayern Munich,Mönchengladbach,0.86,0.13,0.01
Mönchengladbach,Wolfsburg,0.34,0.26,0.4
