Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Dortmund,Eintracht Frankfurt,0.74,0.11,0.15
Eintracht Frankfurt,Hoffenheim,0.27,0.19,0.54
Wolfsburg,Eintracht Frankfurt,0.3,0.51,0.19
Eintracht Frankfurt,Mönchengladbach,0.55,0.2,0.25
Holstein Kiel,Eintracht Frankfurt,0.19,0.31,0.5
Eintracht Frankfurt,Bayern Munich,0.19,0.3,0.51
Bayer Leverkusen,Eintracht Frankfurt,0.91,0.09,0.0
Union Berlin,Eintracht Frankfurt,0.2,0.34,0.46
Eintracht Frankfurt,Bochum,0.42,0.22,0.36
Stuttgart,Eintracht Frankfurt,0.81,0.15,0.04
Eintracht Frankfurt,Werder Bremen,0.16,0.15,0.69
Heidenheim,Eintracht Frankfurt,0.56,0.33,0.11
Eintracht Frankfurt,Augsburg,0.82,0.11,0.07
RB Leipzig,Eintracht Frankfurt,0.75,0.17,0.08
Eintracht Frankfurt,Mainz 05,0.09,0.2,0.71
St. Pauli,Eintracht Frankfurt,0.4,0.3,0.3
Eintracht Frankfurt,Freiburg,0.69,0.17,0.14
Eintracht Frankfurt,Dortmund,0.17,0.39,0.44
Hoffenheim,Eintracht Frankfurt,0.84,0.1,0.06
Eintracht Frankfurt,Wolfsburg,0.42,0.19,0.39
Mönchengladbach,Eintracht Frankfurt,0.22,0.35,0.43
Eintracht Frankfurt,Holstein Kiel,0.73,0.18,0.09
Bayern Munich,Eintracht Frankfurt,0.77,0.11,0.12
Eintracht Frankfurt,Bayer Leverkusen,0.1,0.06,0.84
Eintracht Frankfurt,Union Berlin,0.47,0.22,0.31
Bochum,Eintracht Frankfurt,0.16,0.22,0.62
Eintracht Frankfurt,Stuttgart,0.15,0.19,0.66
Werder Bremen,Eintracht Frankfurt,0.83,0.14,0.03
Eintracht Frankfurt,Heidenheim,0.23,0.19,0.58
Augsburg,Eintracht Frankfurt,0.13,0.21,0.66
Eintracht Frankfurt,RB Leipzig,0.22,0.16,0.62
Mainz 05,Eintracht Frankfurt,0.54,0.37,0.09
Eintracht Frankfurt,St. Pauli,0.54,0.21,0.25
Freiburg,Eintracht Frankfurt,0.5,0.28,0.22
