Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Augsburg,Werder Bremen,0.13,0.09,0.78
Heidenheim,Augsburg,0.87,0.1,0.03
Augsburg,St. Pauli,0.3,0.42,0.28
Augsburg,Mainz 05,0.01,0.1,0.89
RB Leipzig,Augsburg,0.85,0.07,0.08
Augsburg,Mönchengladbach,0.25,0.49,0.26
Freiburg,Augsburg,0.63,0.26,0.11
Augsburg,Dortmund,0.1,0.17,0.73
Wolfsburg,Augsburg,0.76,0.15,0.09
Augsburg,Hoffenheim,0.09,0.03,0.88
Bayern Munich,Augsburg,0.86,0.11,0.03
Augsburg,Bochum,0.16,0.21,0.63
Eintracht Frankfurt,Augsburg,0.82,0.11,0.07
Augsburg,Bayer Leverkusen,0.11,0.03,0.86
Holstein Kiel,Augsburg,0.24,0.58,0.18
Augsburg,Stuttgart,0.15,0.08,0.77
Union Berlin,Augsburg,0.8,0.13,0.07
Werder Bremen,Augsburg,0.93,0.07,0.0
Augsburg,Heidenheim,0.07,0.24,0.69
St. Pauli,Augsburg,0.62,0.3,0.08
Mainz 05,Augsburg,0.9,0.07,0.03
Augsburg,RB Leipzig,0.06,0.16,0.78
Mönchengladbach,Augsburg,0.67,0.29,0.04
Augsburg,Freiburg,0.31,0.48,0.21
Dortmund,Augsburg,0.83,0.16,0.01
Augsburg,Wolfsburg,0.19,0.4,0.41
Hoffenheim,Augsburg,0.89,0.1,0.01
Augsburg,Bayern Munich,0.12,0.08,0.8
Bochum,Augsburg,0.73,0.14,0.13
Augsburg,Eintracht Frankfurt,0.13,0.21,0.66
Bayer Leverkusen,Augsburg,0.95,0.04,0.01
Augsburg,Holstein Kiel,0.28,0.65,0.07
Stuttgart,Augsburg,0.91,0.09,0.0
Augsburg,Union Berlin,0.17,0.2,0.63
