Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Wolfsburg,Bayern Munich,0.23,0.49,0.28
Bayern Munich,Freiburg,0.73,0.2,0.07
Holstein Kiel,Bayern Munich,0.13,0.29,0.58
Werder Bremen,Bayern Munich,0.67,0.14,0.19
Bayern Munich,Bayer Leverkusen,0.16,0.13,0.71
Eintracht Frankfurt,Bayern Munich,0.19,0.3,0.51
Bayern Munich,Stuttgart,0.37,0.11,0.52
Bochum,Bayern Munich,0.15,0.16,0.69
Bayern Munich,Union Berlin,0.85,0.1,0.05
St. Pauli,Bayern Munich,0.21,0.22,0.57
Bayern Munich,Augsburg,0.86,0.11,0.03
Dortmund,Bayern Munich,0.37,0.12,0.51
Bayern Munich,Heidenheim,0.65,0.15,0.2
Mainz 05,Bayern Munich,0.44,0.34,0.22
Bayern Munich,RB Leipzig,0.52,0.17,0.31
Mönchengladbach,Bayern Munich,0.24,0.17,0.59
Bayern Munich,Hoffenheim,0.55,0.13,0.32
Bayern Munich,Wolfsburg,0.76,0.19,0.05
Freiburg,Bayern Munich,0.27,0.32,0.41
Bayern Munich,Holstein Kiel,0.91,0.08,0.01
Bayern Munich,Werder Bremen,0.34,0.13,0.53
Bayer Leverkusen,Bayern Munich,0.83,0.14,0.03
Bayern Munich,Eintracht Frankfurt,0.77,0.11,0.12
Stuttgart,Bayern Munich,0.61,0.17,0.22
Bayern Munich,Bochum,0.82,0.09,0.09
Union Berlin,Bayern Munich,0.15,0.39,0.46
Bayern Munich,St. Pauli,0.82,0.12,0.06
Augsburg,Bayern Munich,0.12,0.08,0.8
Bayern Munich,Dortmund,0.46,0.22,0.32
Heidenheim,Bayern Munich,0.41,0.32,0.27
Bayern Munich,Mainz 05,0.31,0.23,0.46
RB Leipzig,Bayern Munich,0.45,0.16,0.39
Bayern Munich,Mönchengladbach,0.86,0.13,0.01
Hoffenheim,Bayern Munich,0.78,0.06,0.16
