Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
St. Pauli,Heidenheim,0.21,0.38,0.41
Union Berlin,St. Pauli,0.52,0.23,0.25
Augsburg,St. Pauli,0.3,0.42,0.28
St. Pauli,RB Leipzig,0.17,0.31,0.52
Freiburg,St. Pauli,0.37,0.46,0.17
St. Pauli,Mainz 05,0.06,0.28,0.66
Dortmund,St. Pauli,0.81,0.14,0.05
St. Pauli,Wolfsburg,0.32,0.36,0.32
Hoffenheim,St. Pauli,0.82,0.15,0.03
St. Pauli,Bayern Munich,0.21,0.22,0.57
Mönchengladbach,St. Pauli,0.39,0.33,0.28
St. Pauli,Holstein Kiel,0.52,0.38,0.1
Bayer Leverkusen,St. Pauli,0.91,0.07,0.02
St. Pauli,Werder Bremen,0.13,0.18,0.69
Stuttgart,St. Pauli,0.88,0.09,0.03
St. Pauli,Eintracht Frankfurt,0.4,0.3,0.3
Bochum,St. Pauli,0.47,0.22,0.31
Heidenheim,St. Pauli,0.82,0.11,0.07
St. Pauli,Union Berlin,0.45,0.21,0.34
St. Pauli,Augsburg,0.62,0.3,0.08
RB Leipzig,St. Pauli,0.8,0.13,0.07
St. Pauli,Freiburg,0.18,0.62,0.2
Mainz 05,St. Pauli,0.78,0.18,0.04
St. Pauli,Dortmund,0.21,0.35,0.44
Wolfsburg,St. Pauli,0.6,0.3,0.1
St. Pauli,Hoffenheim,0.21,0.15,0.64
Bayern Munich,St. Pauli,0.82,0.12,0.06
St. Pauli,Mönchengladbach,0.67,0.16,0.17
Holstein Kiel,St. Pauli,0.36,0.37,0.27
St. Pauli,Bayer Leverkusen,0.1,0.1,0.8
Werder Bremen,St. Pauli,0.89,0.09,0.02
St. Pauli,Stuttgart,0.15,0.2,0.65
Eintracht Frankfurt,St. Pauli,0.54,0.21,0.25
St. Pauli,Bochum,0.39,0.27,0.34
