Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
RB Leipzig,Bochum,0.8,0.13,0.07
Bayer Leverkusen,RB Leipzig,0.74,0.24,0.02
RB Leipzig,Union Berlin,0.83,0.14,0.03
St. Pauli,RB Leipzig,0.17,0.31,0.52
RB Leipzig,Augsburg,0.85,0.07,0.08
Heidenheim,RB Leipzig,0.45,0.32,0.23
Mainz 05,RB Leipzig,0.41,0.44,0.15
RB Leipzig,Freiburg,0.62,0.3,0.08
Dortmund,RB Leipzig,0.3,0.19,0.51
RB Leipzig,Mönchengladbach,0.83,0.11,0.06
Hoffenheim,RB Leipzig,0.55,0.14,0.31
RB Leipzig,Wolfsburg,0.6,0.18,0.22
Holstein Kiel,RB Leipzig,0.06,0.36,0.58
RB Leipzig,Eintracht Frankfurt,0.75,0.17,0.08
Bayern Munich,RB Leipzig,0.52,0.17,0.31
RB Leipzig,Werder Bremen,0.29,0.32,0.39
Stuttgart,RB Leipzig,0.53,0.38,0.09
Bochum,RB Leipzig,0.15,0.08,0.77
RB Leipzig,Bayer Leverkusen,0.2,0.39,0.41
Union Berlin,RB Leipzig,0.14,0.26,0.6
RB Leipzig,St. Pauli,0.8,0.13,0.07
Augsburg,RB Leipzig,0.06,0.16,0.78
RB Leipzig,Heidenheim,0.62,0.22,0.16
RB Leipzig,Mainz 05,0.32,0.34,0.34
Freiburg,RB Leipzig,0.34,0.34,0.32
RB Leipzig,Dortmund,0.54,0.24,0.22
Mönchengladbach,RB Leipzig,0.29,0.15,0.56
RB Leipzig,Hoffenheim,0.54,0.19,0.27
Wolfsburg,RB Leipzig,0.23,0.44,0.33
RB Leipzig,Holstein Kiel,0.92,0.04,0.04
Eintracht Frankfurt,RB Leipzig,0.22,0.16,0.62
RB Leipzig,Bayern Munich,0.45,0.16,0.39
Werder Bremen,RB Leipzig,0.66,0.25,0.09
RB Leipzig,Stuttgart,0.3,0.35,0.35
