Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Augsburg,Werder Bremen,0.13,0.09,0.78
Werder Bremen,Dortmund,0.7,0.17,0.13
Mainz 05,Werder Bremen,0.23,0.53,0.24
Werder Bremen,Bayern Munich,0.67,0.14,0.19
Hoffenheim,Werder Bremen,0.36,0.2,0.44
Werder Bremen,Freiburg,0.82,0.16,0.02
Wolfsburg,Werder Bremen,0.13,0.53,0.34
Werder Bremen,Bayer Leverkusen,0.28,0.53,0.19
Mönchengladbach,Werder Bremen,0.41,0.09,0.5
Werder Bremen,Holstein Kiel,0.98,0.02,0.0
Eintracht Frankfurt,Werder Bremen,0.16,0.15,0.69
Werder Bremen,Stuttgart,0.43,0.38,0.19
Bochum,Werder Bremen,0.07,0.08,0.85
St. Pauli,Werder Bremen,0.13,0.18,0.69
Werder Bremen,Union Berlin,0.86,0.1,0.04
RB Leipzig,Werder Bremen,0.29,0.32,0.39
Werder Bremen,Heidenheim,0.73,0.2,0.07
Werder Bremen,Augsburg,0.93,0.07,0.0
Dortmund,Werder Bremen,0.17,0.15,0.68
Werder Bremen,Mainz 05,0.36,0.41,0.23
Bayern Munich,Werder Bremen,0.34,0.13,0.53
Werder Bremen,Hoffenheim,0.69,0.21,0.1
Freiburg,Werder Bremen,0.15,0.56,0.29
Werder Bremen,Wolfsburg,0.84,0.11,0.05
Bayer Leverkusen,Werder Bremen,0.58,0.36,0.06
Werder Bremen,Mönchengladbach,0.97,0.03,0.0
Holstein Kiel,Werder Bremen,0.16,0.13,0.71
Werder Bremen,Eintracht Frankfurt,0.83,0.14,0.03
Stuttgart,Werder Bremen,0.3,0.48,0.22
Werder Bremen,Bochum,0.87,0.09,0.04
Werder Bremen,St. Pauli,0.89,0.09,0.02
Union Berlin,Werder Bremen,0.1,0.23,0.67
Werder Bremen,RB Leipzig,0.66,0.25,0.09
Heidenheim,Werder Bremen,0.23,0.42,0.35
