Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Freiburg,Stuttgart,0.18,0.6,0.22
Bayern Munich,Freiburg,0.73,0.2,0.07
Freiburg,Bochum,0.46,0.31,0.23
Heidenheim,Freiburg,0.6,0.31,0.09
Freiburg,St. Pauli,0.37,0.46,0.17
Werder Bremen,Freiburg,0.82,0.16,0.02
Freiburg,Augsburg,0.63,0.26,0.11
RB Leipzig,Freiburg,0.62,0.3,0.08
Freiburg,Mainz 05,0.15,0.25,0.6
Union Berlin,Freiburg,0.77,0.15,0.08
Dortmund,Freiburg,0.66,0.27,0.07
Freiburg,Mönchengladbach,0.67,0.11,0.22
Hoffenheim,Freiburg,0.68,0.25,0.07
Freiburg,Wolfsburg,0.5,0.22,0.28
Bayer Leverkusen,Freiburg,0.84,0.16,0.0
Freiburg,Holstein Kiel,0.51,0.35,0.14
Eintracht Frankfurt,Freiburg,0.69,0.17,0.14
Stuttgart,Freiburg,0.81,0.19,0.0
Freiburg,Bayern Munich,0.27,0.32,0.41
Bochum,Freiburg,0.65,0.22,0.13
Freiburg,Heidenheim,0.43,0.23,0.34
St. Pauli,Freiburg,0.18,0.62,0.2
Freiburg,Werder Bremen,0.15,0.56,0.29
Augsburg,Freiburg,0.31,0.48,0.21
Freiburg,RB Leipzig,0.34,0.34,0.32
Mainz 05,Freiburg,0.62,0.33,0.05
Freiburg,Union Berlin,0.5,0.22,0.28
Freiburg,Dortmund,0.26,0.56,0.18
Mönchengladbach,Freiburg,0.52,0.3,0.18
Freiburg,Hoffenheim,0.27,0.21,0.52
Wolfsburg,Freiburg,0.43,0.48,0.09
Freiburg,Bayer Leverkusen,0.15,0.35,0.5
Holstein Kiel,Freiburg,0.28,0.47,0.25
Freiburg,Eintracht Frankfurt,0.5,0.28,0.22
