Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Hoffenheim,Holstein Kiel,0.89,0.11,0.0
Eintracht Frankfurt,Hoffenheim,0.27,0.19,0.54
Hoffenheim,Bayer Leverkusen,0.17,0.32,0.51
Union Berlin,Hoffenheim,0.24,0.24,0.52
Hoffenheim,Werder Bremen,0.36,0.2,0.44
Stuttgart,Hoffenheim,0.68,0.21,0.11
Hoffenheim,Bochum,0.85,0.09,0.06
Heidenheim,Hoffenheim,0.47,0.24,0.29
Hoffenheim,St. Pauli,0.82,0.15,0.03
Augsburg,Hoffenheim,0.09,0.03,0.88
Hoffenheim,RB Leipzig,0.55,0.14,0.31
Mainz 05,Hoffenheim,0.46,0.33,0.21
Hoffenheim,Freiburg,0.68,0.25,0.07
Dortmund,Hoffenheim,0.51,0.18,0.31
Hoffenheim,Mönchengladbach,0.93,0.07,0.0
Hoffenheim,Wolfsburg,0.67,0.28,0.05
Bayern Munich,Hoffenheim,0.55,0.13,0.32
Holstein Kiel,Hoffenheim,0.13,0.11,0.76
Hoffenheim,Eintracht Frankfurt,0.84,0.1,0.06
Bayer Leverkusen,Hoffenheim,0.64,0.33,0.03
Hoffenheim,Union Berlin,0.9,0.09,0.01
Werder Bremen,Hoffenheim,0.69,0.21,0.1
Hoffenheim,Stuttgart,0.38,0.16,0.46
Bochum,Hoffenheim,0.25,0.13,0.62
Hoffenheim,Heidenheim,0.54,0.21,0.25
St. Pauli,Hoffenheim,0.21,0.15,0.64
Hoffenheim,Augsburg,0.89,0.1,0.01
RB Leipzig,Hoffenheim,0.54,0.19,0.27
Hoffenheim,Mainz 05,0.28,0.23,0.49
Freiburg,Hoffenheim,0.27,0.21,0.52
Hoffenheim,Dortmund,0.67,0.11,0.22
Mönchengladbach,Hoffenheim,0.12,0.1,0.78
Wolfsburg,Hoffenheim,0.31,0.27,0.42
Hoffenheim,Bayern Munich,0.78,0.06,0.16
