Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Freiburg,Stuttgart,0.18,0.6,0.22
Stuttgart,Mainz 05,0.25,0.51,0.24
Mönchengladbach,Stuttgart,0.41,0.1,0.49
Stuttgart,Dortmund,0.68,0.18,0.14
Wolfsburg,Stuttgart,0.16,0.5,0.34
Stuttgart,Hoffenheim,0.68,0.21,0.11
Bayern Munich,Stuttgart,0.37,0.11,0.52
Stuttgart,Holstein Kiel,0.98,0.02,0.0
Bayer Leverkusen,Stuttgart,0.63,0.29,0.08
Stuttgart,Eintracht Frankfurt,0.81,0.15,0.04
Stuttgart,Bochum,0.85,0.1,0.05
Werder Bremen,Stuttgart,0.43,0.38,0.19
Stuttgart,Union Berlin,0.85,0.12,0.03
Heidenheim,Stuttgart,0.26,0.43,0.31
Stuttgart,St. Pauli,0.88,0.09,0.03
Augsburg,Stuttgart,0.15,0.08,0.77
Stuttgart,RB Leipzig,0.53,0.38,0.09
Stuttgart,Freiburg,0.81,0.19,0.0
Mainz 05,Stuttgart,0.23,0.55,0.22
Stuttgart,Mönchengladbach,0.97,0.03,0.0
Dortmund,Stuttgart,0.2,0.12,0.68
Stuttgart,Wolfsburg,0.79,0.16,0.05
Hoffenheim,Stuttgart,0.38,0.16,0.46
Stuttgart,Bayern Munich,0.61,0.17,0.22
Holstein Kiel,Stuttgart,0.18,0.14,0.68
Stuttgart,Bayer Leverkusen,0.25,0.53,0.22
Eintracht Frankfurt,Stuttgart,0.15,0.19,0.66
Bochum,Stuttgart,0.08,0.08,0.84
Stuttgart,Werder Bremen,0.3,0.48,0.22
Union Berlin,Stuttgart,0.09,0.26,0.65
Stuttgart,Heidenheim,0.6,0.32,0.08
St. Pauli,Stuttgart,0.15,0.2,0.65
Stuttgart,Augsburg,0.91,0.09,0.0
RB Leipzig,Stuttgart,0.3,0.35,0.35
