Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
RB Leipzig,Bochum,0.8,0.13,0.07
Bochum,Mönchengladbach,0.44,0.2,0.36
Freiburg,Bochum,0.46,0.31,0.23
Bochum,Holstein Kiel,0.71,0.19,0.1
Dortmund,Bochum,0.71,0.13,0.16
Bochum,Wolfsburg,0.37,0.34,0.29
Hoffenheim,Bochum,0.85,0.09,0.06
Bochum,Bayern Munich,0.15,0.16,0.69
Eintracht Frankfurt,Bochum,0.42,0.22,0.36
Bochum,Bayer Leverkusen,0.02,0.02,0.96
Stuttgart,Bochum,0.85,0.1,0.05
Augsburg,Bochum,0.16,0.21,0.63
Bochum,Werder Bremen,0.07,0.08,0.85
Union Berlin,Bochum,0.3,0.29,0.41
Bochum,Heidenheim,0.25,0.23,0.52
Mainz 05,Bochum,0.69,0.25,0.06
Bochum,St. Pauli,0.47,0.22,0.31
Bochum,RB Leipzig,0.15,0.08,0.77
Mönchengladbach,Bochum,0.26,0.34,0.4
Bochum,Freiburg,0.65,0.22,0.13
Holstein Kiel,Bochum,0.21,0.34,0.45
Bochum,Dortmund,0.19,0.21,0.6
Wolfsburg,Bochum,0.33,0.48,0.19
Bochum,Hoffenheim,0.25,0.13,0.62
Bayern Munich,Bochum,0.82,0.09,0.09
Bochum,Eintracht Frankfurt,0.16,0.22,0.62
Bayer Leverkusen,Bochum,0.92,0.05,0.03
Bochum,Stuttgart,0.08,0.08,0.84
Bochum,Augsburg,0.73,0.14,0.13
Werder Bremen,Bochum,0.87,0.09,0.04
Bochum,Union Berlin,0.32,0.19,0.49
Heidenheim,Bochum,0.58,0.32,0.1
Bochum,Mainz 05,0.08,0.15,0.77
St. Pauli,Bochum,0.39,0.27,0.34
