Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability
Wolfsburg,Bayern Munich,0.23,0.49,0.28
Holstein Kiel,Wolfsburg,0.2,0.47,0.33
Wolfsburg,Eintracht Frankfurt,0.3,0.51,0.19
Bayer Leverkusen,Wolfsburg,0.83,0.17,0.0
Wolfsburg,Stuttgart,0.16,0.5,0.34
Bochum,Wolfsburg,0.37,0.34,0.29
Wolfsburg,Werder Bremen,0.13,0.53,0.34
St. Pauli,Wolfsburg,0.32,0.36,0.32
Wolfsburg,Augsburg,0.76,0.15,0.09
Heidenheim,Wolfsburg,0.56,0.18,0.26
Wolfsburg,Union Berlin,0.4,0.4,0.2
RB Leipzig,Wolfsburg,0.6,0.18,0.22
Wolfsburg,Mainz 05,0.03,0.14,0.83
Freiburg,Wolfsburg,0.5,0.22,0.28
Wolfsburg,Dortmund,0.31,0.53,0.16
Hoffenheim,Wolfsburg,0.67,0.28,0.05
Wolfsburg,Mönchengladbach,0.61,0.25,0.14
Bayern Munich,Wolfsburg,0.76,0.19,0.05
Wolfsburg,Holstein Kiel,0.63,0.27,0.1
Eintracht Frankfurt,Wolfsburg,0.42,0.19,0.39
Wolfsburg,Bayer Leverkusen,0.16,0.37,0.47
Stuttgart,Wolfsburg,0.79,0.16,0.05
Wolfsburg,Bochum,0.33,0.48,0.19
Werder Bremen,Wolfsburg,0.84,0.11,0.05
Wolfsburg,St. Pauli,0.6,0.3,0.1
Augsburg,Wolfsburg,0.19,0.4,0.41
Wolfsburg,Heidenheim,0.33,0.3,0.37
Union Berlin,Wolfsburg,0.44,0.3,0.26
Wolfsburg,RB Leipzig,0.23,0.44,0.33
Mainz 05,Wolfsburg,0.58,0.22,0.2
Wolfsburg,Freiburg,0.43,0.48,0.09
Dortmund,Wolfsburg,0.64,0.24,0.12
Wolfsburg,Hoffenheim,0.31,0.27,0.42
Mönchengladbach,Wolfsburg,0.34,0.26,0.4
