Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mainz 05,Union Berlin,2.0622,1.1509,58.36,21.03,20.61
Union Berlin,St. Pauli,1.6307,2.0201,31.04,21.49,47.47
RB Leipzig,Union Berlin,2.0863,1.2031,57.3,20.84,21.86
Union Berlin,Hoffenheim,1.6287,1.9021,32.57,21.25,46.18
Mönchengladbach,Union Berlin,1.6734,1.4397,43.88,22.58,33.54
Union Berlin,Dortmund,1.5923,1.9099,32.58,21.72,45.7
Holstein Kiel,Union Berlin,1.4194,1.6535,32.97,23.26,43.77
Union Berlin,Eintracht Frankfurt,1.81,1.6175,43.04,22.77,34.19
Bayern Munich,Union Berlin,2.0502,1.2675,54.53,22.28,23.19
Union Berlin,Freiburg,1.5439,1.3992,40.66,24.19,35.15
Wolfsburg,Union Berlin,1.3795,1.252,40.1,25.26,34.64
Union Berlin,Bayer Leverkusen,1.2705,2.3069,19.94,19.02,61.04
Stuttgart,Union Berlin,2.2443,1.147,62.52,20.28,17.2
Union Berlin,Bochum,2.0633,1.7105,47.11,20.18,32.71
Werder Bremen,Union Berlin,2.1953,1.138,61.21,19.66,19.13
Heidenheim,Union Berlin,1.503,1.1792,44.88,24.8,30.32
Union Berlin,Augsburg,2.1138,1.2165,58.1,21.0,20.9
Union Berlin,Mainz 05,1.3222,1.6378,31.1,24.22,44.68
St. Pauli,Union Berlin,2.5536,1.4461,61.63,17.77,20.6
Union Berlin,RB Leipzig,1.446,1.6664,33.94,23.25,42.81
Hoffenheim,Union Berlin,2.3171,1.1271,63.75,19.19,17.06
Union Berlin,Mönchengladbach,1.8827,1.2034,53.1,22.65,24.25
Dortmund,Union Berlin,2.3312,1.315,59.82,19.33,20.85
Union Berlin,Holstein Kiel,2.1032,0.9478,63.84,19.99,16.17
Eintracht Frankfurt,Union Berlin,2.0909,1.4212,52.16,21.89,25.95
Union Berlin,Bayern Munich,1.6352,1.6505,37.94,23.55,38.51
Freiburg,Union Berlin,1.9075,1.3064,52.01,22.29,25.7
Union Berlin,Wolfsburg,1.5272,1.0046,48.58,25.84,25.58
Bayer Leverkusen,Union Berlin,2.7187,1.0835,71.21,15.79,13.0
Union Berlin,Stuttgart,1.36,1.8199,28.34,23.45,48.21
Bochum,Union Berlin,2.2044,1.5742,51.66,20.61,27.73
Union Berlin,Werder Bremen,1.3352,1.8082,28.81,22.89,48.3
Union Berlin,Heidenheim,1.4678,1.1068,45.96,25.47,28.57
Augsburg,Union Berlin,1.7557,1.6087,40.81,23.07,36.12
