Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mainz 05,Union Berlin,2.0622,1.1509,59.08,20.44,20.48
Stuttgart,Mainz 05,1.6124,1.2929,44.87,25.51,29.62
Mainz 05,Werder Bremen,1.4433,1.4671,36.07,25.2,38.73
Augsburg,Mainz 05,1.1239,1.7545,24.83,22.67,52.5
Mainz 05,Heidenheim,1.5758,0.7658,56.68,24.9,18.42
St. Pauli,Mainz 05,1.9217,1.5919,45.85,22.53,31.62
Mainz 05,RB Leipzig,1.554,1.3253,43.11,24.51,32.38
Mainz 05,Mönchengladbach,1.9908,0.8624,63.53,20.87,15.6
Freiburg,Mainz 05,1.2756,1.4522,32.63,25.16,42.21
Mainz 05,Dortmund,1.7004,1.5689,40.8,23.04,36.16
Holstein Kiel,Mainz 05,0.7876,1.7994,15.3,22.74,61.96
Mainz 05,Hoffenheim,1.7368,1.561,42.74,21.96,35.3
Wolfsburg,Mainz 05,0.7477,1.3979,20.19,27.1,52.71
Mainz 05,Bayern Munich,1.7433,1.3095,48.0,22.84,29.16
Eintracht Frankfurt,Mainz 05,1.459,1.567,36.26,24.18,39.56
Mainz 05,Bochum,2.1714,1.3694,54.63,21.09,24.28
Bayer Leverkusen,Mainz 05,2.0868,1.2293,57.08,21.53,21.39
Union Berlin,Mainz 05,1.3222,1.6378,30.96,24.38,44.66
Mainz 05,Stuttgart,1.4681,1.4789,37.38,24.65,37.97
Werder Bremen,Mainz 05,1.5634,1.2838,44.14,24.55,31.31
Mainz 05,Augsburg,2.2219,0.8755,68.41,18.55,13.04
Heidenheim,Mainz 05,0.8711,1.325,24.84,28.42,46.74
Mainz 05,St. Pauli,1.7387,1.6791,39.94,22.47,37.59
RB Leipzig,Mainz 05,1.4544,1.3489,40.66,25.01,34.33
Mönchengladbach,Mainz 05,1.0416,1.5855,25.6,24.45,49.95
Mainz 05,Freiburg,1.652,1.0582,51.32,23.91,24.77
Dortmund,Mainz 05,1.6993,1.4608,44.08,23.9,32.02
Mainz 05,Holstein Kiel,2.2113,0.6068,74.6,17.01,8.39
Hoffenheim,Mainz 05,1.6852,1.273,47.0,24.08,28.92
Mainz 05,Wolfsburg,1.6353,0.6636,60.65,24.97,14.38
Bayern Munich,Mainz 05,1.4183,1.4133,36.69,25.28,38.03
Mainz 05,Eintracht Frankfurt,1.9181,1.2765,53.16,21.72,25.12
Bochum,Mainz 05,1.5725,1.7201,35.47,22.97,41.56
Mainz 05,Bayer Leverkusen,1.3786,1.9659,26.63,21.82,51.55
