Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Mönchengladbach,Bayer Leverkusen,0.9899,2.2547,15.08,18.63,66.29
Bayer Leverkusen,RB Leipzig,2.2106,1.2579,58.63,20.33,21.04
Hoffenheim,Bayer Leverkusen,1.6335,1.9421,32.02,22.14,45.84
Bayer Leverkusen,Wolfsburg,2.2918,0.5962,76.4,15.71,7.89
Bayern Munich,Bayer Leverkusen,1.3666,2.0825,24.53,21.31,54.16
Bayer Leverkusen,Holstein Kiel,2.8678,0.5394,84.28,11.2,4.52
Bayer Leverkusen,Eintracht Frankfurt,2.5746,1.2091,67.33,17.42,15.25
Werder Bremen,Bayer Leverkusen,1.5117,1.9529,30.34,22.39,47.27
Bayer Leverkusen,Stuttgart,2.1246,1.4115,53.59,21.24,25.17
Bochum,Bayer Leverkusen,1.5208,2.3892,23.71,18.85,57.44
Bayer Leverkusen,Heidenheim,2.2323,0.6984,70.97,18.39,10.64
Union Berlin,Bayer Leverkusen,1.2705,2.3069,20.04,19.37,60.59
Bayer Leverkusen,St. Pauli,2.3953,1.6117,54.94,18.68,26.38
Augsburg,Bayer Leverkusen,1.0722,2.4237,15.18,17.53,67.29
Bayer Leverkusen,Freiburg,2.3085,0.9908,67.02,18.39,14.59
Dortmund,Bayer Leverkusen,1.6476,2.13,30.05,20.8,49.15
Bayer Leverkusen,Mainz 05,2.0868,1.2293,57.19,21.02,21.79
Bayer Leverkusen,Mönchengladbach,2.6473,0.795,76.93,14.09,8.98
RB Leipzig,Bayer Leverkusen,1.4027,2.018,27.24,21.04,51.72
Bayer Leverkusen,Hoffenheim,2.3933,1.4936,57.36,19.4,23.24
Wolfsburg,Bayer Leverkusen,0.696,2.067,11.42,19.97,68.61
Bayer Leverkusen,Bayern Munich,2.3998,1.2421,63.43,18.37,18.2
Holstein Kiel,Bayer Leverkusen,0.7359,2.4685,9.11,15.7,75.19
Eintracht Frankfurt,Bayer Leverkusen,1.4073,2.2362,23.76,19.26,56.98
Bayer Leverkusen,Werder Bremen,2.0998,1.3997,53.45,21.13,25.42
Stuttgart,Bayer Leverkusen,1.5607,1.962,30.85,22.37,46.78
Bayer Leverkusen,Bochum,2.8279,1.302,69.16,15.93,14.91
Heidenheim,Bayer Leverkusen,0.8194,1.9942,14.56,21.04,64.4
Bayer Leverkusen,Union Berlin,2.7187,1.0835,71.14,15.53,13.33
St. Pauli,Bayer Leverkusen,1.87,2.261,32.14,20.21,47.65
Bayer Leverkusen,Augsburg,2.8784,0.8081,80.38,12.49,7.13
Freiburg,Bayer Leverkusen,1.2239,2.1214,21.09,19.45,59.46
Bayer Leverkusen,Dortmund,2.3569,1.5015,56.25,19.94,23.81
Mainz 05,Bayer Leverkusen,1.3786,1.9659,27.07,21.92,51.01
