Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Dortmund,Eintracht Frankfurt,2.1871,1.4406,53.89,21.85,24.26
Werder Bremen,Dortmund,1.8335,1.556,44.49,21.86,33.65
Dortmund,Heidenheim,1.8449,0.9299,59.06,22.76,18.18
Stuttgart,Dortmund,1.8825,1.565,45.23,21.79,32.98
Dortmund,Bochum,2.4404,1.5335,57.15,19.56,23.29
Union Berlin,Dortmund,1.5923,1.9099,33.31,21.75,44.94
Dortmund,St. Pauli,2.0078,1.8432,42.56,20.91,36.53
Augsburg,Dortmund,1.3939,2.0267,26.84,21.06,52.1
Dortmund,RB Leipzig,1.8231,1.4894,45.52,22.26,32.22
Mainz 05,Dortmund,1.7004,1.5689,40.68,22.68,36.64
Dortmund,Freiburg,1.921,1.2223,54.25,21.66,24.09
Dortmund,Bayern Munich,2.0123,1.4736,49.18,21.77,29.05
Mönchengladbach,Dortmund,1.3117,1.8577,26.21,23.67,50.12
Dortmund,Hoffenheim,2.0058,1.7251,45.77,21.73,32.5
Wolfsburg,Dortmund,1.0177,1.67,23.5,23.87,52.63
Dortmund,Bayer Leverkusen,1.6476,2.13,30.21,20.72,49.07
Holstein Kiel,Dortmund,1.0576,2.0715,18.32,20.7,60.98
Eintracht Frankfurt,Dortmund,1.7291,1.8392,37.4,21.82,40.78
Dortmund,Werder Bremen,1.7123,1.6312,40.16,23.74,36.1
Heidenheim,Dortmund,1.1412,1.5972,27.94,24.3,47.76
Dortmund,Stuttgart,1.7371,1.643,40.54,23.56,35.9
Bochum,Dortmund,1.8426,1.9922,36.59,21.71,41.7
Dortmund,Union Berlin,2.3312,1.315,60.9,18.4,20.7
St. Pauli,Dortmund,2.1918,1.8641,45.7,20.47,33.83
Dortmund,Augsburg,2.4909,1.0396,69.34,16.51,14.15
RB Leipzig,Dortmund,1.7245,1.6211,40.38,23.2,36.42
Dortmund,Mainz 05,1.6993,1.4608,42.82,24.44,32.74
Freiburg,Dortmund,1.5457,1.7244,34.67,23.06,42.27
Bayern Munich,Dortmund,1.6884,1.6855,38.99,22.76,38.25
Dortmund,Mönchengladbach,2.2598,1.0265,65.34,18.79,15.87
Hoffenheim,Dortmund,1.9553,1.5451,48.05,21.59,30.36
Dortmund,Wolfsburg,1.9043,0.8277,62.5,22.05,15.45
Bayer Leverkusen,Dortmund,2.3569,1.5015,57.09,19.91,23.0
Dortmund,Holstein Kiel,2.4803,0.7709,74.29,15.78,9.93
