Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Dortmund,Eintracht Frankfurt,2.1871,1.4406,53.96,20.72,25.32
Eintracht Frankfurt,Hoffenheim,1.7655,1.8313,37.65,22.22,40.13
Wolfsburg,Eintracht Frankfurt,1.2355,1.3776,33.62,26.51,39.87
Eintracht Frankfurt,Mönchengladbach,2.0195,1.1327,57.22,21.34,21.44
Holstein Kiel,Eintracht Frankfurt,1.2754,1.7791,27.12,23.25,49.63
Eintracht Frankfurt,Bayern Munich,1.772,1.5798,42.51,22.34,35.15
Bayer Leverkusen,Eintracht Frankfurt,2.5746,1.2091,67.29,16.62,16.09
Union Berlin,Eintracht Frankfurt,1.81,1.6175,42.68,22.72,34.6
Eintracht Frankfurt,Bochum,2.2001,1.6397,50.98,20.72,28.3
Stuttgart,Eintracht Frankfurt,2.1002,1.2726,56.34,21.2,22.46
Eintracht Frankfurt,Werder Bremen,1.472,1.7374,33.25,22.52,44.23
Heidenheim,Eintracht Frankfurt,1.3589,1.3048,38.82,25.21,35.97
Eintracht Frankfurt,Augsburg,2.2506,1.1458,62.06,18.31,19.63
RB Leipzig,Eintracht Frankfurt,1.9422,1.3286,52.15,22.28,25.57
Eintracht Frankfurt,Mainz 05,1.459,1.567,35.29,24.65,40.06
St. Pauli,Eintracht Frankfurt,2.4095,1.5716,56.58,19.23,24.19
Eintracht Frankfurt,Freiburg,1.6807,1.3285,45.81,23.71,30.48
Eintracht Frankfurt,Dortmund,1.7291,1.8392,36.66,22.06,41.28
Hoffenheim,Eintracht Frankfurt,2.173,1.2527,58.54,20.46,21.0
Eintracht Frankfurt,Wolfsburg,1.664,0.9339,54.19,24.27,21.54
Mönchengladbach,Eintracht Frankfurt,1.5294,1.5653,37.26,23.7,39.04
Eintracht Frankfurt,Holstein Kiel,2.24,0.8771,68.75,18.49,12.76
Bayern Munich,Eintracht Frankfurt,1.9061,1.3931,49.05,22.84,28.11
Eintracht Frankfurt,Bayer Leverkusen,1.4073,2.2362,23.17,19.93,56.9
Eintracht Frankfurt,Union Berlin,2.0909,1.4212,52.91,20.43,26.66
Bochum,Eintracht Frankfurt,2.0603,1.6998,47.35,20.27,32.38
Eintracht Frankfurt,Stuttgart,1.4968,1.7492,32.85,23.28,43.87
Werder Bremen,Eintracht Frankfurt,2.0512,1.2635,55.83,20.68,23.49
Eintracht Frankfurt,Heidenheim,1.6045,1.0361,50.85,25.15,24.0
Augsburg,Eintracht Frankfurt,1.6117,1.7343,36.43,23.13,40.44
Eintracht Frankfurt,RB Leipzig,1.5827,1.5956,39.53,23.05,37.42
Mainz 05,Eintracht Frankfurt,1.9181,1.2765,52.49,22.25,25.26
Eintracht Frankfurt,St. Pauli,1.7674,1.9494,35.18,21.27,43.55
Freiburg,Eintracht Frankfurt,1.7634,1.432,46.22,22.91,30.87
