Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Augsburg,Werder Bremen,1.1369,1.9249,22.2,22.16,55.64
Heidenheim,Augsburg,1.6627,0.9038,55.03,24.18,20.79
Augsburg,St. Pauli,1.4323,2.1369,25.26,20.63,54.11
Augsburg,Mainz 05,1.1239,1.7545,24.4,23.55,52.05
RB Leipzig,Augsburg,2.246,0.9277,67.4,18.72,13.88
Augsburg,Mönchengladbach,1.6844,1.3202,45.73,23.74,30.53
Freiburg,Augsburg,2.0672,1.031,61.8,20.5,17.7
Augsburg,Dortmund,1.3939,2.0267,26.58,21.1,52.32
Wolfsburg,Augsburg,1.5393,0.9766,50.47,26.07,23.46
Augsburg,Hoffenheim,1.4304,2.0188,26.89,21.3,51.81
Bayern Munich,Augsburg,2.2099,0.9921,65.07,19.09,15.84
Augsburg,Bochum,1.8649,1.8272,39.78,21.43,38.79
Eintracht Frankfurt,Augsburg,2.2506,1.1458,62.35,19.05,18.6
Augsburg,Bayer Leverkusen,1.0722,2.4237,15.03,18.53,66.44
Holstein Kiel,Augsburg,1.5792,1.3781,42.54,24.25,33.21
Augsburg,Stuttgart,1.1617,1.9367,22.42,21.7,55.88
Union Berlin,Augsburg,2.1138,1.2165,57.65,21.02,21.33
Werder Bremen,Augsburg,2.355,0.8626,70.47,17.47,12.06
Augsburg,Heidenheim,1.2694,1.2236,37.39,27.45,35.16
St. Pauli,Augsburg,2.7133,1.1707,69.8,15.88,14.32
Mainz 05,Augsburg,2.2219,0.8755,67.6,19.29,13.11
Augsburg,RB Leipzig,1.2476,1.7831,26.75,23.24,50.01
Mönchengladbach,Augsburg,1.8332,1.1643,53.17,22.96,23.87
Augsburg,Freiburg,1.3455,1.516,34.13,24.7,41.17
Dortmund,Augsburg,2.4909,1.0396,68.97,17.46,13.57
Augsburg,Wolfsburg,1.3288,1.1214,41.33,27.49,31.18
Hoffenheim,Augsburg,2.4768,0.8517,72.66,16.27,11.07
Augsburg,Bayern Munich,1.4368,1.7673,31.2,23.74,45.06
Bochum,Augsburg,2.3641,1.2988,61.2,18.88,19.92
Augsburg,Eintracht Frankfurt,1.6117,1.7343,35.94,22.67,41.39
Bayer Leverkusen,Augsburg,2.8784,0.8081,79.35,12.58,8.07
Augsburg,Holstein Kiel,1.9048,1.0646,57.12,21.56,21.32
Stuttgart,Augsburg,2.404,0.8716,71.55,16.75,11.7
Augsburg,Union Berlin,1.7557,1.6087,41.67,21.83,36.5
