Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
St. Pauli,Heidenheim,2.0672,1.061,60.37,20.62,19.01
Union Berlin,St. Pauli,1.6307,2.0201,31.66,21.12,47.22
Augsburg,St. Pauli,1.4323,2.1369,25.55,20.08,54.37
St. Pauli,RB Leipzig,2.0454,1.6205,47.45,21.59,30.96
Freiburg,St. Pauli,1.584,1.8346,33.81,22.35,43.84
St. Pauli,Mainz 05,1.9217,1.5919,45.27,22.69,32.04
Dortmund,St. Pauli,2.0078,1.8432,42.06,20.81,37.13
St. Pauli,Wolfsburg,2.1267,0.9588,64.93,18.99,16.08
Hoffenheim,St. Pauli,1.9936,1.6554,46.31,21.03,32.66
St. Pauli,Bayern Munich,2.2347,1.6047,52.21,19.92,27.87
Mönchengladbach,St. Pauli,1.35,1.9679,25.59,22.12,52.29
St. Pauli,Holstein Kiel,2.7027,0.902,74.98,14.84,10.18
Bayer Leverkusen,St. Pauli,2.3953,1.6117,54.66,20.29,25.05
St. Pauli,Werder Bremen,1.9347,1.7623,41.95,21.34,36.71
Stuttgart,St. Pauli,1.9209,1.6752,43.36,22.72,33.92
St. Pauli,Eintracht Frankfurt,2.4095,1.5716,55.56,19.49,24.95
Bochum,St. Pauli,1.881,2.1024,34.68,20.41,44.91
Heidenheim,St. Pauli,1.1796,1.7074,25.93,24.13,49.94
St. Pauli,Union Berlin,2.5536,1.4461,62.81,17.67,19.52
St. Pauli,Augsburg,2.7133,1.1707,69.39,16.26,14.35
RB Leipzig,St. Pauli,1.7629,1.7313,39.99,22.78,37.23
St. Pauli,Freiburg,2.1434,1.3533,56.23,20.1,23.67
Mainz 05,St. Pauli,1.7387,1.6791,39.59,23.47,36.94
St. Pauli,Dortmund,2.1918,1.8641,46.43,20.11,33.46
Wolfsburg,St. Pauli,1.0561,1.7802,21.96,22.97,55.07
St. Pauli,Hoffenheim,2.2282,1.8562,46.69,20.5,32.81
Bayern Munich,St. Pauli,1.7267,1.7957,38.7,21.84,39.46
St. Pauli,Mönchengladbach,2.4822,1.1576,66.55,17.82,15.63
Holstein Kiel,St. Pauli,1.096,2.1817,18.5,19.84,61.66
St. Pauli,Bayer Leverkusen,1.87,2.261,32.68,19.63,47.69
Werder Bremen,St. Pauli,1.8718,1.6662,42.74,22.01,35.25
St. Pauli,Stuttgart,1.9595,1.7741,43.02,21.51,35.47
Eintracht Frankfurt,St. Pauli,1.7674,1.9494,35.27,21.25,43.48
St. Pauli,Bochum,2.6628,1.6646,59.64,17.57,22.79
