Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Augsburg,Werder Bremen,1.1369,1.9249,21.92,22.97,55.11
Werder Bremen,Dortmund,1.8335,1.556,44.41,22.15,33.44
Mainz 05,Werder Bremen,1.4433,1.4671,36.87,24.86,38.27
Werder Bremen,Bayern Munich,1.8763,1.2965,50.59,23.05,26.36
Hoffenheim,Werder Bremen,1.6982,1.4434,44.57,23.59,31.84
Werder Bremen,Freiburg,1.785,1.0452,54.91,23.25,21.84
Wolfsburg,Werder Bremen,0.7606,1.5683,18.14,25.54,56.32
Werder Bremen,Bayer Leverkusen,1.5117,1.9529,30.05,22.36,47.59
Mönchengladbach,Werder Bremen,1.0546,1.7559,22.48,23.82,53.7
Werder Bremen,Holstein Kiel,2.3443,0.5938,77.26,15.47,7.27
Eintracht Frankfurt,Werder Bremen,1.472,1.7374,33.55,22.96,43.49
Werder Bremen,Stuttgart,1.6012,1.466,40.45,24.44,35.11
Bochum,Werder Bremen,1.5855,1.8905,32.99,21.87,45.14
St. Pauli,Werder Bremen,1.9347,1.7623,42.21,22.11,35.68
Werder Bremen,Union Berlin,2.1953,1.138,61.08,20.0,18.92
RB Leipzig,Werder Bremen,1.4674,1.5193,36.31,24.57,39.12
Werder Bremen,Heidenheim,1.7089,0.7528,60.2,23.2,16.6
Werder Bremen,Augsburg,2.355,0.8626,70.45,17.05,12.5
Dortmund,Werder Bremen,1.7123,1.6312,40.07,22.47,37.46
Werder Bremen,Mainz 05,1.5634,1.2838,44.44,24.75,30.81
Bayern Munich,Werder Bremen,1.4313,1.5837,35.44,23.6,40.96
Werder Bremen,Hoffenheim,1.8699,1.5481,45.71,22.09,32.2
Freiburg,Werder Bremen,1.2886,1.6226,30.23,24.77,45.0
Werder Bremen,Wolfsburg,1.7683,0.6507,65.23,21.86,12.91
Bayer Leverkusen,Werder Bremen,2.0998,1.3997,53.69,21.08,25.23
Werder Bremen,Mönchengladbach,2.1239,0.8495,66.17,19.56,14.27
Holstein Kiel,Werder Bremen,0.8006,1.9698,14.88,19.94,65.18
Werder Bremen,Eintracht Frankfurt,2.0512,1.2635,55.2,21.32,23.48
Stuttgart,Werder Bremen,1.6254,1.4633,42.69,22.69,34.62
Werder Bremen,Bochum,2.3044,1.3565,58.71,19.98,21.31
Werder Bremen,St. Pauli,1.8718,1.6662,43.38,21.79,34.83
Union Berlin,Werder Bremen,1.3352,1.8082,28.8,22.48,48.72
Werder Bremen,RB Leipzig,1.6871,1.3124,45.39,24.54,30.07
Heidenheim,Werder Bremen,0.8841,1.4954,22.85,25.55,51.6
