Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Freiburg,Stuttgart,1.3134,1.6344,29.69,24.54,45.77
Bayern Munich,Freiburg,1.64,1.1747,48.74,23.98,27.28
Freiburg,Bochum,2.0167,1.5249,49.28,21.36,29.36
Heidenheim,Freiburg,1.0928,1.0865,35.71,29.88,34.41
Freiburg,St. Pauli,1.584,1.8346,33.36,22.56,44.08
Werder Bremen,Freiburg,1.785,1.0452,55.28,23.94,20.78
Freiburg,Augsburg,2.0672,1.031,61.28,20.68,18.04
RB Leipzig,Freiburg,1.6761,1.1103,50.31,24.24,25.45
Freiburg,Mainz 05,1.2756,1.4522,33.22,25.29,41.49
Union Berlin,Freiburg,1.5439,1.3992,41.07,24.39,34.54
Dortmund,Freiburg,1.921,1.2223,54.21,22.22,23.57
Freiburg,Mönchengladbach,1.8361,1.0179,57.02,22.36,20.62
Hoffenheim,Freiburg,1.9069,1.0344,57.41,21.86,20.73
Freiburg,Wolfsburg,1.4806,0.8191,53.06,26.44,20.5
Bayer Leverkusen,Freiburg,2.3085,0.9908,67.61,17.56,14.83
Freiburg,Holstein Kiel,2.0566,0.7623,67.93,19.17,12.9
Eintracht Frankfurt,Freiburg,1.6807,1.3285,45.61,23.96,30.43
Stuttgart,Freiburg,1.8341,1.0543,54.95,23.76,21.29
Freiburg,Bayern Munich,1.5886,1.465,41.15,23.81,35.04
Bochum,Freiburg,1.7942,1.4815,45.22,23.24,31.54
Freiburg,Heidenheim,1.4211,0.9213,48.34,27.07,24.59
St. Pauli,Freiburg,2.1434,1.3533,54.94,20.87,24.19
Freiburg,Werder Bremen,1.2886,1.6226,31.37,24.13,44.5
Augsburg,Freiburg,1.3455,1.516,33.57,24.44,41.99
Freiburg,RB Leipzig,1.3993,1.4808,35.2,25.1,39.7
Mainz 05,Freiburg,1.652,1.0582,51.13,24.86,24.01
Freiburg,Union Berlin,1.9075,1.3064,51.24,22.46,26.3
Freiburg,Dortmund,1.5457,1.7244,35.29,23.43,41.28
Mönchengladbach,Freiburg,1.2632,1.347,34.57,26.49,38.94
Freiburg,Hoffenheim,1.5821,1.7165,36.02,23.51,40.47
Wolfsburg,Freiburg,0.9693,1.1593,31.39,29.32,39.29
Freiburg,Bayer Leverkusen,1.2239,2.1214,21.9,20.62,57.48
Holstein Kiel,Freiburg,1.0092,1.5608,24.19,24.74,51.07
Freiburg,Eintracht Frankfurt,1.7634,1.432,45.59,23.46,30.95
