Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Hoffenheim,Holstein Kiel,2.4662,0.583,78.87,14.53,6.6
Eintracht Frankfurt,Hoffenheim,1.7655,1.8313,37.28,22.51,40.21
Hoffenheim,Bayer Leverkusen,1.6335,1.9421,33.31,21.21,45.48
Union Berlin,Hoffenheim,1.6287,1.9021,33.79,21.88,44.33
Hoffenheim,Werder Bremen,1.6982,1.4434,43.52,23.11,33.37
Stuttgart,Hoffenheim,1.9189,1.5572,45.88,22.32,31.8
Hoffenheim,Bochum,2.4263,1.3457,61.58,18.83,19.59
Heidenheim,Hoffenheim,1.1776,1.5893,27.88,25.15,46.97
Hoffenheim,St. Pauli,1.9936,1.6554,45.94,21.01,33.05
Augsburg,Hoffenheim,1.4304,2.0188,26.84,22.19,50.97
Hoffenheim,RB Leipzig,1.8089,1.3016,49.25,23.4,27.35
Mainz 05,Hoffenheim,1.7368,1.561,42.4,22.63,34.97
Hoffenheim,Freiburg,1.9069,1.0344,57.28,22.38,20.34
Dortmund,Hoffenheim,2.0058,1.7251,45.85,21.14,33.01
Hoffenheim,Mönchengladbach,2.2457,0.8386,69.75,17.92,12.33
Hoffenheim,Wolfsburg,1.8902,0.6398,66.87,21.4,11.73
Bayern Munich,Hoffenheim,1.7248,1.6776,39.51,22.39,38.1
Holstein Kiel,Hoffenheim,1.0941,2.0637,19.08,20.68,60.24
Hoffenheim,Eintracht Frankfurt,2.173,1.2527,58.55,20.17,21.28
Bayer Leverkusen,Hoffenheim,2.3933,1.4936,57.76,18.79,23.45
Hoffenheim,Union Berlin,2.3171,1.1271,64.75,18.4,16.85
Werder Bremen,Hoffenheim,1.8699,1.5481,45.98,22.39,31.63
Hoffenheim,Stuttgart,1.723,1.4551,44.45,23.51,32.04
Bochum,Hoffenheim,1.879,1.9844,37.25,21.17,41.58
Hoffenheim,Heidenheim,1.8307,0.742,64.33,21.4,14.27
St. Pauli,Hoffenheim,2.2282,1.8562,46.9,20.68,32.42
Hoffenheim,Augsburg,2.4768,0.8517,73.74,16.19,10.07
RB Leipzig,Hoffenheim,1.7609,1.6132,41.96,23.04,35.0
Hoffenheim,Mainz 05,1.6852,1.273,47.48,23.89,28.63
Freiburg,Hoffenheim,1.5821,1.7165,36.13,21.98,41.89
Hoffenheim,Dortmund,1.9553,1.5451,47.3,21.79,30.91
Mönchengladbach,Hoffenheim,1.3481,1.8498,29.23,22.82,47.95
Wolfsburg,Hoffenheim,1.0542,1.6622,24.06,24.39,51.55
Hoffenheim,Bayern Munich,1.9982,1.2857,53.92,21.54,24.54
