Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Freiburg,Stuttgart,1.3134,1.6344,30.89,24.74,44.37
Stuttgart,Mainz 05,1.6124,1.2929,45.1,24.08,30.82
Mönchengladbach,Stuttgart,1.0794,1.7677,22.2,23.63,54.17
Stuttgart,Dortmund,1.8825,1.565,44.92,22.83,32.25
Wolfsburg,Stuttgart,0.7855,1.58,18.58,25.49,55.93
Stuttgart,Hoffenheim,1.9189,1.5572,46.76,22.04,31.2
Bayern Munich,Stuttgart,1.4561,1.5955,34.35,24.49,41.16
Stuttgart,Holstein Kiel,2.3934,0.6029,77.75,14.99,7.26
Bayer Leverkusen,Stuttgart,2.1246,1.4115,53.64,21.26,25.1
Stuttgart,Eintracht Frankfurt,2.1002,1.2726,56.88,20.69,22.43
Stuttgart,Bochum,2.3535,1.3655,59.06,19.66,21.28
Werder Bremen,Stuttgart,1.6012,1.466,39.89,24.13,35.98
Stuttgart,Union Berlin,2.2443,1.147,62.23,19.91,17.86
Heidenheim,Stuttgart,0.9089,1.5072,22.48,26.32,51.2
Stuttgart,St. Pauli,1.9209,1.6752,43.8,21.58,34.62
Augsburg,Stuttgart,1.1617,1.9367,22.29,22.2,55.51
Stuttgart,RB Leipzig,1.7362,1.3215,47.53,23.15,29.32
Stuttgart,Freiburg,1.8341,1.0543,55.99,22.54,21.47
Mainz 05,Stuttgart,1.4681,1.4789,37.41,24.0,38.59
Stuttgart,Mönchengladbach,2.1729,0.8585,67.43,18.88,13.69
Dortmund,Stuttgart,1.7371,1.643,40.44,23.34,36.22
Stuttgart,Wolfsburg,1.8174,0.6597,64.26,22.55,13.19
Hoffenheim,Stuttgart,1.723,1.4551,45.14,23.22,31.64
Stuttgart,Bayern Munich,1.9254,1.3056,52.8,22.01,25.19
Holstein Kiel,Stuttgart,0.8254,1.9815,15.3,20.81,63.89
Stuttgart,Bayer Leverkusen,1.5607,1.962,30.57,21.25,48.18
Eintracht Frankfurt,Stuttgart,1.4968,1.7492,32.62,23.03,44.35
Bochum,Stuttgart,1.6103,1.9022,33.51,22.02,44.47
Stuttgart,Werder Bremen,1.6254,1.4633,42.92,23.46,33.62
Union Berlin,Stuttgart,1.36,1.8199,29.47,22.41,48.12
Stuttgart,Heidenheim,1.7579,0.7619,61.68,22.21,16.11
St. Pauli,Stuttgart,1.9595,1.7741,42.52,21.4,36.08
Stuttgart,Augsburg,2.404,0.8716,71.03,17.11,11.86
RB Leipzig,Stuttgart,1.4922,1.5311,37.19,24.01,38.8
