Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
RB Leipzig,Bochum,2.1955,1.4216,54.17,20.94,24.89
Bochum,Mönchengladbach,2.133,1.2857,57.01,20.0,22.99
Freiburg,Bochum,2.0167,1.5249,49.77,20.91,29.32
Bochum,Holstein Kiel,2.3535,1.0301,66.45,18.19,15.36
Dortmund,Bochum,2.4404,1.5335,57.71,18.78,23.51
Bochum,Wolfsburg,1.7775,1.0869,53.78,22.5,23.72
Hoffenheim,Bochum,2.4263,1.3457,61.08,19.15,19.77
Bochum,Bayern Munich,1.8855,1.7328,41.42,22.56,36.02
Eintracht Frankfurt,Bochum,2.2001,1.6397,50.18,20.21,29.61
Bochum,Bayer Leverkusen,1.5208,2.3892,23.17,19.18,57.65
Stuttgart,Bochum,2.3535,1.3655,59.33,18.99,21.68
Augsburg,Bochum,1.8649,1.8272,39.93,21.62,38.45
Bochum,Werder Bremen,1.5855,1.8905,32.03,21.88,46.09
Union Berlin,Bochum,2.0633,1.7105,46.09,21.3,32.61
Bochum,Heidenheim,1.718,1.1891,49.44,23.68,26.88
Mainz 05,Bochum,2.1714,1.3694,56.25,20.34,23.41
Bochum,St. Pauli,1.881,2.1024,35.75,20.64,43.61
Bochum,RB Leipzig,1.6963,1.7487,37.4,22.14,40.46
Mönchengladbach,Bochum,1.7826,1.6582,41.39,22.11,36.5
Bochum,Freiburg,1.7942,1.4815,44.62,23.09,32.29
Holstein Kiel,Bochum,1.5286,1.8721,31.67,22.81,45.52
Bochum,Dortmund,1.8426,1.9922,35.66,21.13,43.21
Wolfsburg,Bochum,1.4887,1.4706,38.27,24.05,37.68
Bochum,Hoffenheim,1.879,1.9844,37.71,21.69,40.6
Bayern Munich,Bochum,2.1594,1.486,53.43,20.21,26.36
Bochum,Eintracht Frankfurt,2.0603,1.6998,47.01,21.11,31.88
Bayer Leverkusen,Bochum,2.8279,1.302,69.41,15.53,15.06
Bochum,Stuttgart,1.6103,1.9022,33.03,22.28,44.69
Bochum,Augsburg,2.3641,1.2988,61.21,19.03,19.76
Werder Bremen,Bochum,2.3044,1.3565,58.71,20.06,21.23
Bochum,Union Berlin,2.2044,1.5742,51.83,19.98,28.19
Heidenheim,Bochum,1.6122,1.3977,43.0,24.43,32.57
Bochum,Mainz 05,1.5725,1.7201,35.78,22.77,41.45
St. Pauli,Bochum,2.6628,1.6646,59.43,17.66,22.91
