Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Wolfsburg,Bayern Munich,1.0606,1.4106,28.07,26.57,45.36
Holstein Kiel,Wolfsburg,0.9925,1.1662,30.62,29.51,39.87
Wolfsburg,Eintracht Frankfurt,1.2355,1.3776,33.86,26.11,40.03
Bayer Leverkusen,Wolfsburg,2.2918,0.5962,75.97,16.06,7.97
Wolfsburg,Stuttgart,0.7855,1.58,18.47,25.05,56.48
Bochum,Wolfsburg,1.7775,1.0869,54.85,22.25,22.9
Wolfsburg,Werder Bremen,0.7606,1.5683,18.18,25.16,56.66
St. Pauli,Wolfsburg,2.1267,0.9588,64.26,19.69,16.05
Wolfsburg,Augsburg,1.5393,0.9766,50.67,25.54,23.79
Heidenheim,Wolfsburg,1.0761,0.6919,44.64,31.57,23.79
Wolfsburg,Union Berlin,1.3795,1.252,39.26,26.32,34.42
RB Leipzig,Wolfsburg,1.6594,0.7158,59.83,24.16,16.01
Wolfsburg,Mainz 05,0.7477,1.3979,20.15,27.43,52.42
Freiburg,Wolfsburg,1.4806,0.8191,51.92,26.55,21.53
Wolfsburg,Dortmund,1.0177,1.67,22.8,24.61,52.59
Hoffenheim,Wolfsburg,1.8902,0.6398,68.04,20.91,11.05
Wolfsburg,Mönchengladbach,1.3081,0.9635,44.23,27.93,27.84
Bayern Munich,Wolfsburg,1.6233,0.7802,57.04,24.78,18.18
Wolfsburg,Holstein Kiel,1.5286,0.7079,56.95,25.45,17.6
Eintracht Frankfurt,Wolfsburg,1.664,0.9339,54.62,23.78,21.6
Wolfsburg,Bayer Leverkusen,0.696,2.067,11.63,19.82,68.55
Stuttgart,Wolfsburg,1.8174,0.6597,65.17,22.04,12.79
Wolfsburg,Bochum,1.4887,1.4706,37.77,24.3,37.93
Werder Bremen,Wolfsburg,1.7683,0.6507,64.69,22.29,13.02
Wolfsburg,St. Pauli,1.0561,1.7802,21.9,23.24,54.86
Augsburg,Wolfsburg,1.3288,1.1214,41.03,27.91,31.06
Wolfsburg,Heidenheim,0.8932,0.8669,34.22,32.98,32.8
Union Berlin,Wolfsburg,1.5272,1.0046,49.83,26.03,24.14
Wolfsburg,RB Leipzig,0.8714,1.4265,23.14,27.3,49.56
Mainz 05,Wolfsburg,1.6353,0.6636,61.84,24.05,14.11
Wolfsburg,Freiburg,0.9693,1.1593,30.28,29.2,40.52
Dortmund,Wolfsburg,1.9043,0.8277,63.71,21.4,14.89
Wolfsburg,Hoffenheim,1.0542,1.6622,24.36,24.78,50.86
Mönchengladbach,Wolfsburg,1.2465,0.9524,42.83,28.49,28.68
