Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Eintracht Frankfurt,Bayern Munich,1,6,0,4,0.9,4.0
Augsburg,Freiburg,0,4,0,2,0.7,1.2
Wolfsburg,Werder Bremen,2,2,1,2,1.0,0.8
Union Berlin,Hertha BSC,3,1,3,1,1.0,0.3
Bochum,Mainz 05,1,2,1,2,0.9,1.4
Mönchengladbach,Hoffenheim,3,1,3,1,2.0,0.1
Dortmund,Bayer Leverkusen,1,0,0,0,1.8,1.3
Stuttgart,RB Leipzig,1,1,1,1,0.8,1.7
Köln,Schalke 04,3,1,2,1,4.4,0.2
Freiburg,Dortmund,1,3,1,2,1.0,1.1
RB Leipzig,Köln,2,2,2,1,1.0,1.5
Bayer Leverkusen,Augsburg,1,2,0,1,2.6,0.4
Hertha BSC,Eintracht Frankfurt,1,1,1,1,1.7,1.6
Hoffenheim,Bochum,3,2,2,2,2.7,1.5
Schalke 04,Mönchengladbach,2,2,1,1,1.4,1.3
Werder Bremen,Stuttgart,2,2,2,2,0.5,1.4
Mainz 05,Union Berlin,0,0,0,0,0.7,0.4
Bayern Munich,Wolfsburg,2,0,1,0,2.2,0.5
Mönchengladbach,Hertha BSC,1,0,0,0,2.7,1.0
Wolfsburg,Schalke 04,0,0,0,0,1.3,1.1
Dortmund,Werder Bremen,2,3,2,2,0.5,1.3
Bayer Leverkusen,Hoffenheim,0,3,0,2,1.2,1.5
Union Berlin,RB Leipzig,2,1,2,1,0.7,0.9
Stuttgart,Freiburg,0,1,0,1,0.9,0.6
Augsburg,Mainz 05,1,2,1,2,0.5,2.2
Bochum,Bayern Munich,0,7,0,4,0.7,3.2
Eintracht Frankfurt,Köln,1,1,0,0,0.9,0.3
Freiburg,Bochum,1,0,0,0,4.2,1.3
Hoffenheim,Augsburg,1,0,1,0,1.9,0.6
Schalke 04,Union Berlin,1,6,0,4,1.9,1.1
Bayern Munich,Mönchengladbach,1,1,1,0,2.8,0.5
Mainz 05,Bayer Leverkusen,0,3,0,1,1.4,1.9
Hertha BSC,Dortmund,0,1,0,1,0.5,2.7
RB Leipzig,Wolfsburg,2,0,0,0,3.5,0.5
Werder Bremen,Eintracht Frankfurt,3,4,1,3,1.8,1.8
Köln,Stuttgart,0,0,0,0,0.6,2.2
Dortmund,Hoffenheim,1,0,1,0,2.0,0.5
Eintracht Frankfurt,RB Leipzig,4,0,2,0,3.1,0.2
Bayer Leverkusen,Freiburg,2,3,1,3,1.8,1.9
Stuttgart,Schalke 04,1,1,1,1,0.6,2.3
Bochum,Werder Bremen,0,2,0,1,0.8,2.0
Wolfsburg,Köln,2,4,2,2,1.0,2.7
Union Berlin,Bayern Munich,1,1,1,0,0.3,1.5
Augsburg,Hertha BSC,0,2,0,2,0.4,2.1
Mönchengladbach,Mainz 05,0,1,0,0,1.2,0.6
Werder Bremen,Augsburg,0,1,0,1,1.5,1.0
Hoffenheim,Mainz 05,4,1,4,0,4.3,0.7
RB Leipzig,Dortmund,3,0,3,0,2.0,0.6
Schalke 04,Bochum,3,1,1,1,1.5,1.1
Eintracht Frankfurt,Wolfsburg,0,1,0,1,0.7,1.0
Bayern Munich,Stuttgart,2,2,2,1,2.2,1.2
Hertha BSC,Bayer Leverkusen,2,2,1,1,1.9,1.3
Köln,Union Berlin,0,1,0,0,0.6,1.5
Freiburg,Mönchengladbach,0,0,0,0,1.1,1.2
Mainz 05,Hertha BSC,1,1,0,1,0.7,0.4
Bayer Leverkusen,Werder Bremen,1,1,1,0,1.9,2.2
Augsburg,Bayern Munich,1,0,1,0,1.8,1.6
Mönchengladbach,RB Leipzig,3,0,2,0,2.8,0.9
Dortmund,Schalke 04,1,0,1,0,1.8,0.1
Stuttgart,Eintracht Frankfurt,1,3,1,1,1.1,1.0
Union Berlin,Wolfsburg,2,0,2,0,1.4,0.3
Bochum,Köln,1,1,0,0,0.2,2.1
Hoffenheim,Freiburg,0,0,0,0,0.7,1.0
Bayern Munich,Bayer Leverkusen,4,0,3,0,1.9,0.8
RB Leipzig,Bochum,4,0,1,0,4.1,0.1
Wolfsburg,Stuttgart,3,2,3,2,2.1,1.5
Eintracht Frankfurt,Union Berlin,2,0,1,0,0.9,1.0
Werder Bremen,Mönchengladbach,5,1,3,1,1.9,2.3
Freiburg,Mainz 05,2,1,1,1,2.4,1.7
Köln,Dortmund,3,2,3,1,1.9,2.6
Hertha BSC,Hoffenheim,1,1,1,1,0.9,1.5
Schalke 04,Augsburg,2,3,2,2,1.9,1.4
Hoffenheim,Werder Bremen,1,2,1,1,1.8,1.4
Augsburg,Wolfsburg,1,1,0,1,2.0,1.8
Mainz 05,RB Leipzig,1,1,1,1,0.6,1.1
Dortmund,Bayern Munich,2,2,2,1,1.6,0.6
Bayer Leverkusen,Schalke 04,4,0,4,0,1.5,0.4
Bochum,Eintracht Frankfurt,3,0,2,0,0.6,0.9
Mönchengladbach,Köln,5,2,3,0,3.0,1.3
Hertha BSC,Freiburg,2,2,1,2,1.6,1.0
Stuttgart,Union Berlin,0,1,0,1,1.0,0.7
Schalke 04,Hoffenheim,0,3,0,1,0.7,3.3
Eintracht Frankfurt,Bayer Leverkusen,5,1,2,1,3.9,0.4
RB Leipzig,Hertha BSC,3,2,2,0,3.1,2.4
Stuttgart,Bochum,4,1,2,0,2.2,1.6
Wolfsburg,Mönchengladbach,2,2,2,1,1.8,0.8
Werder Bremen,Mainz 05,0,2,0,2,1.3,1.1
Union Berlin,Dortmund,2,0,1,0,1.9,0.8
Bayern Munich,Freiburg,5,0,3,0,2.1,0.3
Köln,Augsburg,3,2,1,2,1.5,0.4
Mainz 05,Köln,5,0,2,0,1.9,0.7
Augsburg,RB Leipzig,3,3,2,1,1.6,2.5
Freiburg,Werder Bremen,2,0,1,0,3.0,0.5
Dortmund,Stuttgart,5,0,5,0,2.6,1.0
Mönchengladbach,Eintracht Frankfurt,1,3,1,2,1.0,1.9
Hoffenheim,Bayern Munich,0,2,0,2,0.8,2.5
Bayer Leverkusen,Wolfsburg,2,2,2,0,2.3,1.2
Bochum,Union Berlin,2,1,2,0,1.1,1.0
Hertha BSC,Schalke 04,2,1,1,1,0.8,0.6
Werder Bremen,Hertha BSC,1,0,1,0,1.4,0.4
Wolfsburg,Bochum,4,0,4,0,2.0,0.5
Bayern Munich,Mainz 05,6,2,5,2,3.2,2.2
Eintracht Frankfurt,Dortmund,1,2,1,2,2.0,0.6
Stuttgart,Augsburg,2,1,2,1,2.7,1.0
RB Leipzig,Bayer Leverkusen,2,0,2,0,1.2,0.1
Schalke 04,Freiburg,0,2,0,1,0.6,2.3
Köln,Hoffenheim,1,1,1,1,1.2,0.9
Union Berlin,Mönchengladbach,2,1,2,1,0.9,1.0
Mönchengladbach,Stuttgart,3,1,3,1,0.9,1.2
Werder Bremen,Schalke 04,2,1,2,1,1.0,1.4
Dortmund,Bochum,3,0,0,0,1.5,0.6
Mainz 05,Wolfsburg,0,3,0,2,1.0,0.6
Hertha BSC,Bayern Munich,2,3,1,1,1.2,1.9
Augsburg,Eintracht Frankfurt,1,2,1,1,1.2,1.2
Hoffenheim,RB Leipzig,1,3,1,1,0.9,1.7
Bayer Leverkusen,Union Berlin,5,0,5,0,1.9,0.3
Freiburg,Köln,2,0,2,0,1.5,0.5
Stuttgart,Hertha BSC,2,1,2,1,2.0,0.7
Bayern Munich,Werder Bremen,6,1,4,1,4.4,1.3
Wolfsburg,Dortmund,2,0,1,0,2.5,1.6
Bochum,Mönchengladbach,2,1,1,1,2.0,0.8
Union Berlin,Augsburg,2,2,2,1,1.2,0.6
Eintracht Frankfurt,Hoffenheim,4,2,3,1,2.8,1.8
Köln,Bayer Leverkusen,1,2,1,1,1.5,1.4
Schalke 04,Mainz 05,1,0,0,0,1.5,0.8
RB Leipzig,Freiburg,3,1,1,0,3.0,0.2
Mönchengladbach,Dortmund,4,2,4,1,2.1,3.3
Bayer Leverkusen,Stuttgart,2,0,2,0,1.6,0.3
Werder Bremen,RB Leipzig,1,2,1,2,0.9,1.7
Schalke 04,Bayern Munich,0,2,0,2,0.8,1.9
Hoffenheim,Wolfsburg,1,2,1,1,1.4,0.7
Hertha BSC,Köln,2,0,1,0,1.8,1.8
Augsburg,Bochum,0,1,0,1,2.3,1.1
Freiburg,Union Berlin,4,1,2,0,2.3,1.7
Mainz 05,Eintracht Frankfurt,1,1,1,1,1.5,1.8
RB Leipzig,Bayern Munich,1,1,1,1,0.8,0.7
Stuttgart,Mainz 05,1,1,1,0,1.7,1.5
Union Berlin,Hoffenheim,3,1,3,1,2.9,1.0
Eintracht Frankfurt,Schalke 04,3,0,3,0,1.2,1.9
Bochum,Hertha BSC,3,1,3,0,1.6,1.0
Wolfsburg,Freiburg,6,0,5,0,2.7,0.7
Köln,Werder Bremen,7,1,5,1,3.2,0.3
Dortmund,Augsburg,4,3,4,1,2.9,1.8
Mönchengladbach,Bayer Leverkusen,2,3,2,2,1.0,2.1
Hoffenheim,Stuttgart,2,2,1,2,2.0,0.8
Schalke 04,RB Leipzig,1,6,1,3,0.7,2.8
Bayern Munich,Köln,1,1,1,1,1.4,0.8
Hertha BSC,Wolfsburg,0,5,0,4,0.4,3.3
Bayer Leverkusen,Bochum,2,0,1,0,1.7,0.7
Mainz 05,Dortmund,1,2,1,2,1.2,1.5
Augsburg,Mönchengladbach,1,0,1,0,0.9,0.3
Freiburg,Eintracht Frankfurt,1,1,1,0,1.9,0.2
Werder Bremen,Union Berlin,1,2,1,1,0.6,1.1
RB Leipzig,Stuttgart,2,1,1,0,1.0,1.7
Hertha BSC,Union Berlin,0,2,0,2,0.5,1.0
Hoffenheim,Mönchengladbach,1,4,1,3,1.8,1.7
Mainz 05,Bochum,5,2,3,1,2.1,1.5
Werder Bremen,Wolfsburg,2,1,1,0,2.3,0.7
Freiburg,Augsburg,3,1,3,0,1.8,1.7
Bayern Munich,Eintracht Frankfurt,1,1,1,1,1.7,0.6
Bayer Leverkusen,Dortmund,0,2,0,1,1.7,0.9
Schalke 04,Köln,0,0,0,0,1.2,0.3
Augsburg,Bayer Leverkusen,1,0,1,0,0.9,0.6
Mönchengladbach,Schalke 04,0,0,0,0,1.1,1.0
Dortmund,Freiburg,5,1,4,0,1.9,0.4
Eintracht Frankfurt,Hertha BSC,3,0,1,0,2.2,0.9
Köln,RB Leipzig,0,0,0,0,0.8,1.3
Union Berlin,Mainz 05,2,1,2,0,1.1,1.3
Bochum,Hoffenheim,5,2,5,2,2.7,0.9
Stuttgart,Werder Bremen,0,2,0,1,1.4,0.5
Wolfsburg,Bayern Munich,2,4,1,4,2.3,0.5
Schalke 04,Wolfsburg,0,0,0,0,1.3,1.5
Werder Bremen,Dortmund,0,2,0,2,0.6,2.5
Hoffenheim,Bayer Leverkusen,1,3,0,3,0.7,1.4
Freiburg,Stuttgart,2,1,0,1,2.1,1.1
Bayern Munich,Bochum,3,0,1,0,3.8,0.3
Mainz 05,Augsburg,3,1,3,0,2.4,1.5
