,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
0,Mönchengladbach,Bayern Munich,1,1,1,1,2.3,2.6
1,Stuttgart,Greuther Fürth,5,1,5,1,3.1,1.2
2,Dortmund,Eintracht Frankfurt,5,2,5,1,2.7,1.4
3,Union Berlin,Bayer Leverkusen,1,1,1,1,0.5,0.8
4,Arminia,Freiburg,0,0,0,0,0.4,1.6
5,Augsburg,Hoffenheim,0,4,0,4,0.6,3.8
6,Wolfsburg,Bochum,1,0,1,0,2.5,0.4
7,Mainz 05,RB Leipzig,1,0,0,0,1.2,1.1
8,Köln,Hertha BSC,3,1,3,1,1.6,1.9
9,RB Leipzig,Stuttgart,4,0,1,0,3.8,1.1
10,Hertha BSC,Wolfsburg,1,2,0,2,1.2,1.0
11,Eintracht Frankfurt,Augsburg,0,0,0,0,1.6,0.3
12,Bochum,Mainz 05,2,0,2,0,0.8,0.9
13,Freiburg,Dortmund,2,1,1,0,1.3,1.6
14,Bayer Leverkusen,Mönchengladbach,4,0,3,0,1.9,1.7
15,Greuther Fürth,Arminia,1,1,0,1,2.6,0.8
16,Hoffenheim,Union Berlin,2,2,2,0,1.0,1.8
17,Bayern Munich,Köln,3,2,2,2,2.7,1.1
18,Dortmund,Hoffenheim,3,2,1,2,3.5,2.3
19,Bayern Munich,Hertha BSC,5,0,4,0,2.9,0.4
20,Stuttgart,Freiburg,2,3,2,2,1.8,1.3
21,Köln,Bochum,2,1,2,1,3.2,0.6
22,Augsburg,Bayer Leverkusen,1,4,0,2,1.8,2.0
23,Arminia,Eintracht Frankfurt,1,1,1,1,0.6,1.5
24,Mainz 05,Greuther Fürth,3,0,3,0,2.8,0.2
25,Wolfsburg,RB Leipzig,1,0,0,0,0.8,1.2
26,Union Berlin,Mönchengladbach,2,1,2,0,1.9,1.9
27,Hoffenheim,Mainz 05,0,2,0,2,0.7,0.9
28,RB Leipzig,Bayern Munich,1,4,1,3,0.5,4.0
29,Freiburg,Köln,1,1,0,1,0.8,1.1
30,Greuther Fürth,Wolfsburg,0,2,0,1,0.3,1.4
31,Bayer Leverkusen,Dortmund,3,4,2,2,0.7,1.9
32,Union Berlin,Augsburg,0,0,0,0,1.0,1.0
33,Eintracht Frankfurt,Stuttgart,1,1,1,0,1.1,0.9
34,Bochum,Hertha BSC,1,3,0,2,1.2,0.3
