Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Mönchengladbach,Bayern Munich,1,1,1,1,2.3,2.6,55,451,93,633
Stuttgart,Greuther Fürth,5,1,5,1,3.1,1.2,78,529,28,314
Dortmund,Eintracht Frankfurt,5,2,5,1,2.7,1.4,68,506,48,402
Union Berlin,Bayer Leverkusen,1,1,1,1,0.5,0.8,33,403,87,611
Arminia,Freiburg,0,0,0,0,0.4,1.6,27,363,43,392
Augsburg,Hoffenheim,0,4,0,4,0.6,3.8,49,429,65,457
Wolfsburg,Bochum,1,0,1,0,2.5,0.4,41,411,41,524
Mainz 05,RB Leipzig,1,0,0,0,1.2,1.1,38,476,74,528
Köln,Hertha BSC,3,1,3,1,1.6,1.9,28,441,37,368
RB Leipzig,Stuttgart,4,0,1,0,3.8,1.1,74,528,78,529
Hertha BSC,Wolfsburg,1,2,0,2,1.2,1.0,37,368,41,411
Eintracht Frankfurt,Augsburg,0,0,0,0,1.6,0.3,48,402,49,429
Bochum,Mainz 05,2,0,2,0,0.8,0.9,41,524,38,476
Freiburg,Dortmund,2,1,1,0,1.3,1.6,43,392,68,506
Bayer Leverkusen,Mönchengladbach,4,0,3,0,1.9,1.7,87,611,55,451
Greuther Fürth,Arminia,1,1,0,1,2.6,0.8,28,314,27,363
Hoffenheim,Union Berlin,2,2,2,0,1.0,1.8,65,457,33,403
Bayern Munich,Köln,3,2,2,2,2.7,1.1,93,633,28,441
Dortmund,Hoffenheim,3,2,1,2,3.5,2.3,68,506,65,457
Bayern Munich,Hertha BSC,5,0,4,0,2.9,0.4,93,633,37,368
Stuttgart,Freiburg,2,3,2,2,1.8,1.3,78,529,43,392
Köln,Bochum,2,1,2,1,3.2,0.6,28,441,41,524
Augsburg,Bayer Leverkusen,1,4,0,2,1.8,2.0,49,429,87,611
Arminia,Eintracht Frankfurt,1,1,1,1,0.6,1.5,27,363,48,402
Mainz 05,Greuther Fürth,3,0,3,0,2.8,0.2,38,476,28,314
Wolfsburg,RB Leipzig,1,0,0,0,0.8,1.2,41,411,74,528
Union Berlin,Mönchengladbach,2,1,2,0,1.9,1.9,33,403,55,451
Hoffenheim,Mainz 05,0,2,0,2,0.7,0.9,65,457,38,476
RB Leipzig,Bayern Munich,1,4,1,3,0.5,4.0,74,528,93,633
Freiburg,Köln,1,1,0,1,0.8,1.1,43,392,28,441
Greuther Fürth,Wolfsburg,0,2,0,1,0.3,1.4,28,314,41,411
Bayer Leverkusen,Dortmund,3,4,2,2,0.7,1.9,87,611,68,506
Union Berlin,Augsburg,0,0,0,0,1.0,1.0,33,403,49,429
Eintracht Frankfurt,Stuttgart,1,1,1,0,1.1,0.9,48,402,78,529
Bochum,Hertha BSC,1,3,0,2,1.2,0.3,41,524,37,368
Mönchengladbach,Arminia,3,1,3,0,1.7,1.8,55,451,27,363
Hertha BSC,Greuther Fürth,2,1,1,0,0.7,1.4,37,368,28,314
Augsburg,Mönchengladbach,1,0,1,0,0.3,0.6,49,429,55,451
Arminia,Hoffenheim,0,0,0,0,1.3,1.1,27,363,65,457
Köln,RB Leipzig,1,1,0,1,1.8,2.8,28,441,74,528
Mainz 05,Freiburg,0,0,0,0,1.0,0.4,38,476,43,392
